start_frame,end_frame,start_t,end_t,duration_s,state,n_samples,n_observed,n_imputed,n_unobserved,imputed,start_uncertainty_frames
0,507,0.0,16.917,16.917,red,169,169,0,0,False,0
507,585,16.917,19.52,2.603,red_amber,26,26,0,0,False,3
585,597,19.52,19.92,0.4,unknown,4,0,0,4,False,3
597,1581,19.92,52.753,32.833,green,328,327,1,0,True,15
1581,1671,52.753,55.756,3.003,green_blink,30,30,0,0,False,3
1671,1758,55.756,58.659,2.903,amber,29,29,0,0,False,3
1758,1761,58.659,58.759,0.1,unknown,1,0,0,1,False,3
1761,2748,58.759,91.692,32.933,red,329,329,0,0,False,6
2748,2754,91.692,91.892,0.2,unknown,2,0,0,2,False,3
2754,2835,91.892,94.594,2.703,red_amber,27,26,1,0,True,9
2835,2838,94.594,94.695,0.1,unknown,1,0,0,1,False,3
2838,3828,94.695,127.728,33.033,green,330,329,1,0,True,6
3828,3918,127.728,130.731,3.003,green_blink,30,28,2,0,True,3
3918,4008,130.731,133.734,3.003,amber,30,20,10,0,True,3
4008,4998,133.734,166.767,33.033,red,330,329,1,0,True,3
4998,5073,166.767,169.269,2.502,red_amber,25,25,0,0,False,3
5073,5088,169.269,169.77,0.501,unknown,5,0,0,5,False,3
5088,6081,169.77,202.903,33.133,green,331,325,6,0,True,18
6081,6171,202.903,205.906,3.003,green_blink,30,28,2,0,True,3
6171,6261,205.906,208.909,3.003,amber,30,30,0,0,False,3
6261,6264,208.909,209.009,0.1,unknown,1,0,0,1,False,3
6264,7251,209.009,241.942,32.933,red,329,329,0,0,False,6
7251,7338,241.942,244.845,2.903,red_amber,29,28,1,0,True,3
7338,7341,244.845,244.945,0.1,unknown,1,0,0,1,False,3
7341,8331,244.945,277.978,33.033,green,330,319,11,0,True,6
8331,8421,277.978,280.981,3.003,green_blink,30,30,0,0,False,3
8421,8511,280.981,283.984,3.003,amber,30,30,0,0,False,3
8511,9492,283.984,316.716,32.733,red,327,327,0,0,False,3
9492,9516,316.716,317.517,0.801,red_amber,8,8,0,0,False,3
9516,9525,317.517,317.818,0.3,unknown,3,0,0,3,False,3
