frame,t_sec,state,observation,confidence,margin_sd,reason,v3_label,red_on,red_z,amber_on,amber_z,green_on,green_z
0,0.0,red,observed,1.0,2.34,,red,1,15.48,0,-2.34,0,-11.25
3,0.1,red,observed,1.0,2.45,,red,1,14.6,0,-2.45,0,-10.91
6,0.2,red,observed,1.0,2.66,,red,1,14.93,0,-2.66,0,-10.91
9,0.3,red,observed,1.0,2.77,,red,1,15.04,0,-2.77,0,-11.45
12,0.4,red,observed,1.0,2.88,,red,1,14.27,0,-2.88,0,-10.64
15,0.501,red,observed,0.799,1.6,,red,1,13.72,0,-1.6,0,-10.98
18,0.601,red,observed,1.0,2.66,,red,1,13.94,0,-2.66,0,-10.84
21,0.701,red,observed,0.906,1.81,,red,1,13.83,0,-1.81,0,-11.45
24,0.801,red,observed,1.0,3.3,,red,1,12.84,0,-3.3,0,-11.52
27,0.901,red,observed,1.0,2.88,,red,1,13.5,0,-2.88,0,-10.84
30,1.001,red,observed,0.746,1.49,,red,1,12.95,0,-1.49,0,-11.18
33,1.101,red,observed,1.0,2.66,,red,1,12.95,0,-2.66,0,-11.18
36,1.201,red,observed,0.852,1.7,,red,1,13.61,0,-1.7,0,-11.25
39,1.301,red,observed,0.799,1.6,,red,1,13.17,0,-1.6,0,-10.98
42,1.401,red,observed,0.852,1.7,,red,1,12.07,0,-1.7,0,-11.11
45,1.502,red,observed,1.0,2.45,,red,1,12.73,0,-2.45,0,-11.38
48,1.602,red,observed,0.906,1.81,,red,1,12.62,0,-1.81,0,-10.64
51,1.702,red,observed,0.746,1.49,,red,1,13.61,0,-1.49,0,-10.91
54,1.802,red,observed,0.959,1.92,,red,1,12.07,0,-1.92,0,-10.98
57,1.902,red,observed,1.0,2.45,,red,1,12.73,0,-2.45,0,-10.91
60,2.002,red,observed,1.0,2.98,,red,1,12.62,0,-2.98,0,-10.64
63,2.102,red,observed,0.959,1.92,,red,1,12.95,0,-1.92,0,-11.04
66,2.202,red,observed,1.0,2.02,,red,1,12.4,0,-2.02,0,-10.57
69,2.302,red,observed,0.959,1.92,,red,1,12.51,0,-1.92,0,-10.84
72,2.402,red,observed,1.0,2.34,,red,1,13.28,0,-2.34,0,-10.91
75,2.502,red,observed,1.0,2.24,,red,1,12.73,0,-2.24,0,-11.11
78,2.603,red,observed,1.0,2.24,,red,1,13.17,0,-2.24,0,-10.98
81,2.703,red,observed,1.0,2.13,,red,1,12.95,0,-2.13,0,-10.91
84,2.803,red,observed,1.0,2.66,,red,1,12.62,0,-2.66,0,-11.25
87,2.903,red,observed,1.0,2.45,,red,1,12.73,0,-2.45,0,-11.31
90,3.003,red,observed,1.0,2.66,,red,1,13.5,0,-2.66,0,-10.37
93,3.103,red,observed,1.0,2.34,,red,1,12.29,0,-2.34,0,-10.98
96,3.203,red,observed,1.0,2.02,,red,1,12.07,0,-2.02,0,-10.98
99,3.303,red,observed,1.0,2.77,,red,1,13.39,0,-2.77,0,-10.64
102,3.403,red,observed,0.852,1.7,,red,1,12.62,0,-1.7,0,-10.84
105,3.504,red,observed,1.0,2.13,,red,1,13.61,0,-2.13,0,-10.64
108,3.604,red,observed,0.959,1.92,,red,1,13.61,0,-1.92,0,-11.18
111,3.704,red,observed,1.0,2.56,,red,1,13.06,0,-2.56,0,-10.77
114,3.804,red,observed,1.0,2.98,,red,1,13.5,0,-2.98,0,-11.18
117,3.904,red,observed,1.0,2.24,,red,1,13.28,0,-2.24,0,-11.04
120,4.004,red,observed,1.0,2.24,,red,1,12.4,0,-2.24,0,-10.77
123,4.104,red,observed,0.852,1.7,,red,1,12.73,0,-1.7,0,-10.91
126,4.204,red,observed,0.959,1.92,,red,1,10.87,0,-1.92,0,-10.64
129,4.304,red,observed,1.0,2.24,,red,1,12.62,0,-2.24,0,-11.52
132,4.404,red,observed,1.0,2.24,,red,1,12.73,0,-2.24,0,-10.77
135,4.504,red,observed,1.0,2.56,,red,1,12.73,0,-2.56,0,-11.11
138,4.605,red,observed,1.0,2.24,,red,1,13.06,0,-2.24,0,-10.98
141,4.705,red,observed,1.0,2.45,,red,1,12.84,0,-2.45,0,-10.43
144,4.805,red,observed,1.0,2.56,,red,1,11.85,0,-2.56,0,-10.91
147,4.905,red,observed,1.0,2.45,,red,1,11.85,0,-2.45,0,-11.25
150,5.005,red,observed,1.0,2.77,,red,1,11.53,0,-2.77,0,-10.77
153,5.105,red,observed,0.586,1.17,,red,1,11.96,0,-1.17,0,-10.77
156,5.205,red,observed,0.959,1.92,,red,1,12.18,0,-1.92,0,-10.77
159,5.305,red,observed,0.959,1.92,,red,1,12.51,0,-1.92,0,-10.77
162,5.405,red,observed,1.0,2.45,,red,1,12.62,0,-2.45,0,-10.71
165,5.506,red,observed,1.0,2.66,,red,1,11.53,0,-2.66,0,-11.11
168,5.606,red,observed,1.0,2.24,,red,1,11.31,0,-2.24,0,-11.31
171,5.706,red,observed,1.0,3.41,,red,1,12.18,0,-3.41,0,-11.11
174,5.806,red,observed,0.852,1.7,,red,1,12.73,0,-1.7,0,-10.98
177,5.906,red,observed,1.0,2.24,,red,1,12.62,0,-2.24,0,-10.84
180,6.006,red,observed,1.0,2.02,,red,1,13.28,0,-2.02,0,-10.64
183,6.106,red,observed,1.0,2.66,,red,1,12.07,0,-2.66,0,-10.43
186,6.206,red,observed,0.959,1.92,,red,1,12.51,0,-1.92,0,-10.5
189,6.306,red,observed,1.0,2.45,,red,1,12.29,0,-2.45,0,-11.59
192,6.406,red,observed,1.0,2.56,,red,1,12.95,0,-2.56,0,-10.91
195,6.506,red,observed,1.0,2.56,,red,1,11.74,0,-2.56,0,-11.31
198,6.607,red,observed,1.0,2.66,,red,1,12.4,0,-2.66,0,-10.91
201,6.707,red,observed,1.0,2.66,,red,1,13.28,0,-2.66,0,-10.91
204,6.807,red,observed,1.0,2.66,,red,1,12.51,0,-2.66,0,-10.23
207,6.907,red,observed,1.0,2.56,,red,1,13.83,0,-2.56,0,-10.64
210,7.007,red,observed,1.0,2.34,,red,1,12.18,0,-2.34,0,-11.79
213,7.107,red,observed,1.0,2.56,,red,1,13.39,0,-2.56,0,-11.65
