frame,t_sec,state,observation,confidence,margin_sd,reason,v3_label,red_on,red_z,amber_on,amber_z,green_on,green_z
0,0.0,red,observed,1.0,12.49,,red,1,26.63,0,-18.1,0,-12.49
3,0.1,red,observed,1.0,12.27,,red,1,26.36,0,-17.81,0,-12.27
6,0.2,red,observed,1.0,12.25,,red,1,26.72,0,-17.74,0,-12.25
9,0.3,red,observed,1.0,12.33,,red,1,26.63,0,-16.88,0,-12.33
12,0.4,red,observed,1.0,12.35,,red,1,27.57,0,-17.46,0,-12.35
15,0.501,red,observed,1.0,12.67,,red,1,26.94,0,-17.24,0,-12.67
18,0.601,red,observed,1.0,12.57,,red,1,26.54,0,-17.46,0,-12.57
21,0.701,red,observed,1.0,12.31,,red,1,26.58,0,-16.81,0,-12.31
24,0.801,red,observed,1.0,12.49,,red,1,27.48,0,-18.1,0,-12.49
27,0.901,red,observed,1.0,12.49,,red,1,27.57,0,-16.53,0,-12.49
30,1.001,red,observed,1.0,12.43,,red,1,26.76,0,-17.31,0,-12.43
33,1.101,red,observed,1.0,12.59,,red,1,26.85,0,-17.24,0,-12.59
36,1.201,red,observed,1.0,12.41,,red,1,27.71,0,-16.96,0,-12.41
39,1.301,red,observed,1.0,12.47,,red,1,26.36,0,-17.38,0,-12.47
42,1.401,red,observed,1.0,12.45,,red,1,26.04,0,-17.6,0,-12.45
45,1.502,red,observed,1.0,12.45,,red,1,27.39,0,-17.67,0,-12.45
48,1.602,red,observed,1.0,12.59,,red,1,26.36,0,-16.96,0,-12.59
51,1.702,red,observed,1.0,12.49,,red,1,26.27,0,-17.31,0,-12.49
54,1.802,red,observed,1.0,12.51,,red,1,26.4,0,-17.1,0,-12.51
57,1.902,red,observed,1.0,12.53,,red,1,27.3,0,-17.74,0,-12.53
60,2.002,red,observed,1.0,12.33,,red,1,26.27,0,-18.03,0,-12.33
63,2.102,red,observed,1.0,12.47,,red,1,26.54,0,-17.1,0,-12.47
66,2.202,red,observed,1.0,12.49,,red,1,26.27,0,-17.6,0,-12.49
69,2.302,red,observed,1.0,12.47,,red,1,25.78,0,-16.88,0,-12.47
72,2.402,red,observed,1.0,12.45,,red,1,26.9,0,-17.67,0,-12.45
75,2.502,red,observed,1.0,12.75,,red,1,26.58,0,-17.67,0,-12.75
78,2.603,red,observed,1.0,12.35,,red,1,26.85,0,-17.53,0,-12.35
81,2.703,red,observed,1.0,12.61,,red,1,27.17,0,-17.89,0,-12.61
84,2.803,red,observed,1.0,12.29,,red,1,26.54,0,-17.31,0,-12.29
87,2.903,red,observed,1.0,12.47,,red,1,26.4,0,-17.24,0,-12.47
90,3.003,red,observed,1.0,12.47,,red,1,27.12,0,-18.1,0,-12.47
93,3.103,red,observed,1.0,12.45,,red,1,26.18,0,-17.67,0,-12.45
96,3.203,red,observed,1.0,12.41,,red,1,26.76,0,-16.38,0,-12.41
99,3.303,red,observed,1.0,12.39,,red,1,27.62,0,-17.38,0,-12.39
102,3.403,red,observed,1.0,12.39,,red,1,26.94,0,-17.03,0,-12.39
105,3.504,red,observed,1.0,12.33,,red,1,27.75,0,-16.81,0,-12.33
108,3.604,red,observed,1.0,12.49,,red,1,27.75,0,-17.6,0,-12.49
111,3.704,red,observed,1.0,12.45,,red,1,27.3,0,-17.89,0,-12.45
114,3.804,red,observed,1.0,12.49,,red,1,27.3,0,-17.31,0,-12.49
117,3.904,red,observed,1.0,12.59,,red,1,26.63,0,-18.24,0,-12.59
120,4.004,red,observed,1.0,12.43,,red,1,26.85,0,-17.1,0,-12.43
123,4.104,red,observed,1.0,12.41,,red,1,26.45,0,-17.46,0,-12.41
126,4.204,red,observed,1.0,12.33,,red,1,26.85,0,-17.03,0,-12.33
129,4.304,red,observed,1.0,12.39,,red,1,26.9,0,-17.1,0,-12.39
132,4.404,red,observed,1.0,12.27,,red,1,26.63,0,-16.96,0,-12.27
135,4.504,red,observed,1.0,12.37,,red,1,27.44,0,-17.03,0,-12.37
138,4.605,red,observed,1.0,12.57,,red,1,26.31,0,-16.88,0,-12.57
141,4.705,red,observed,1.0,12.43,,red,1,26.31,0,-16.67,0,-12.43
144,4.805,red,observed,1.0,12.41,,red,1,26.22,0,-17.24,0,-12.41
147,4.905,red,observed,1.0,12.49,,red,1,26.27,0,-17.89,0,-12.49
150,5.005,red,observed,1.0,12.51,,red,1,26.54,0,-16.96,0,-12.51
153,5.105,red,observed,1.0,12.65,,red,1,26.49,0,-17.53,0,-12.65
156,5.205,red,observed,1.0,12.43,,red,1,26.13,0,-17.31,0,-12.43
159,5.305,red,observed,1.0,12.61,,red,1,26.63,0,-18.17,0,-12.61
162,5.405,red,observed,1.0,12.79,,red,1,25.86,0,-17.03,0,-12.79
165,5.506,red,observed,1.0,12.37,,red,1,26.18,0,-17.38,0,-12.37
168,5.606,red,observed,1.0,12.41,,red,1,26.09,0,-17.89,0,-12.41
171,5.706,red,observed,1.0,12.25,,red,1,25.69,0,-17.53,0,-12.25
174,5.806,red,observed,1.0,12.47,,red,1,26.49,0,-16.53,0,-12.47
177,5.906,red,observed,1.0,12.41,,red,1,25.82,0,-17.53,0,-12.41
180,6.006,red,observed,1.0,12.43,,red,1,25.82,0,-17.74,0,-12.43
183,6.106,red,observed,1.0,12.39,,red,1,26.09,0,-17.89,0,-12.39
186,6.206,red,observed,1.0,12.43,,red,1,26.31,0,-17.6,0,-12.43
189,6.306,red,observed,1.0,12.43,,red,1,26.31,0,-17.17,0,-12.43
192,6.406,red,observed,1.0,12.49,,red,1,27.21,0,-17.46,0,-12.49
195,6.506,red,observed,1.0,12.31,,red,1,26.63,0,-17.24,0,-12.31
198,6.607,red,observed,1.0,12.21,,red,1,26.22,0,-17.1,0,-12.21
201,6.707,red,observed,1.0,12.37,,red,1,25.64,0,-17.1,0,-12.37
204,6.807,red,observed,1.0,12.29,,red,1,25.64,0,-17.24,0,-12.29
207,6.907,red,observed,1.0,12.49,,red,1,26.81,0,-17.1,0,-12.49
210,7.007,red,observed,1.0,12.35,,red,1,25.6,0,-16.81,0,-12.35
213,7.107,red,observed,1.0,12.45,,red,1,25.55,0,-16.74,0,-12.45
216,7.207,red,observed,1.0,12.35,,red,1,26.4,0,-17.31,0,-12.35
219,7.307,red,observed,1.0,12.43,,red,1,26.67,0,-17.31,0,-12.43
222,7.407,red,observed,1.0,12.29,,red,1,26.45,0,-17.89,0,-12.29
225,7.508,red,observed,1.0,12.25,,red,1,26.63,0,-17.1,0,-12.25
228,7.608,red,observed,1.0,12.49,,red,1,25.95,0,-17.31,0,-12.49
231,7.708,red,observed,1.0,12.41,,red,1,26.31,0,-17.46,0,-12.41
234,7.808,red,observed,1.0,12.41,,red,1,25.86,0,-17.81,0,-12.41
237,7.908,red,observed,1.0,12.61,,red,1,25.91,0,-17.31,0,-12.61
240,8.008,red,observed,1.0,12.17,,red,1,26.04,0,-17.53,0,-12.17
243,8.108,red,observed,1.0,12.31,,red,1,25.91,0,-17.31,0,-12.31
