frame,t_sec,state,observation,confidence,margin_sd,reason,v3_label,red_on,red_z,green_on,green_z
0,0.0,unknown,occluded,0.0,16.07,occluded,occluded,0,-31.86,0,-16.07
3,0.1,red,observed,1.0,15.69,,red,1,22.03,0,-15.69
6,0.2,red,observed,1.0,15.54,,red,1,23.28,0,-15.54
9,0.3,red,observed,1.0,15.62,,red,1,21.72,0,-15.62
12,0.4,red,observed,1.0,15.69,,red,1,23.9,0,-15.69
15,0.501,red,observed,1.0,15.77,,red,1,21.52,0,-15.77
18,0.601,red,observed,1.0,15.84,,red,1,21.93,0,-15.84
21,0.701,red,observed,1.0,15.69,,red,1,22.76,0,-15.69
24,0.801,red,observed,1.0,15.69,,red,1,21.83,0,-15.69
27,0.901,red,observed,1.0,16.52,,red,1,23.69,0,-16.52
30,1.001,red,observed,1.0,15.62,,red,1,22.86,0,-15.62
33,1.101,red,observed,1.0,15.47,,red,1,21.83,0,-15.47
36,1.201,red,observed,1.0,15.69,,red,1,23.79,0,-15.69
39,1.301,red,observed,1.0,15.84,,red,1,22.96,0,-15.84
42,1.401,red,observed,1.0,15.69,,red,1,23.38,0,-15.69
45,1.502,red,observed,1.0,15.62,,red,1,22.65,0,-15.62
48,1.602,red,observed,1.0,15.54,,red,1,22.14,0,-15.54
51,1.702,red,observed,1.0,15.39,,red,1,22.65,0,-15.39
54,1.802,red,observed,1.0,15.84,,red,1,22.55,0,-15.84
57,1.902,red,observed,1.0,16.07,,red,1,22.24,0,-16.07
60,2.002,red,observed,1.0,15.32,,red,1,21.52,0,-15.32
63,2.102,red,observed,1.0,15.17,,red,1,22.03,0,-15.17
66,2.202,red,observed,1.0,15.92,,red,1,21.31,0,-15.92
69,2.302,red,observed,1.0,16.22,,red,1,22.03,0,-16.22
72,2.402,red,observed,1.0,15.77,,red,1,22.03,0,-15.77
75,2.502,red,observed,1.0,15.84,,red,1,21.72,0,-15.84
78,2.603,red,observed,1.0,15.99,,red,1,22.14,0,-15.99
81,2.703,red,observed,1.0,15.24,,red,1,21.52,0,-15.24
84,2.803,red,observed,1.0,15.47,,red,1,23.69,0,-15.47
87,2.903,red,observed,1.0,15.84,,red,1,21.83,0,-15.84
90,3.003,red,observed,1.0,15.92,,red,1,22.45,0,-15.92
93,3.103,red,observed,1.0,15.77,,red,1,22.24,0,-15.77
96,3.203,red,observed,1.0,15.77,,red,1,23.48,0,-15.77
99,3.303,red,observed,1.0,15.84,,red,1,23.28,0,-15.84
102,3.403,red,observed,1.0,16.44,,red,1,23.17,0,-16.44
105,3.504,red,observed,1.0,15.77,,red,1,24.52,0,-15.77
108,3.604,red,observed,1.0,16.14,,red,1,22.55,0,-16.14
111,3.704,red,observed,1.0,16.37,,red,1,22.86,0,-16.37
114,3.804,red,observed,1.0,16.07,,red,1,23.69,0,-16.07
117,3.904,red,observed,1.0,16.44,,red,1,23.28,0,-16.44
120,4.004,red,observed,1.0,16.14,,red,1,22.24,0,-16.14
123,4.104,red,observed,1.0,15.69,,red,1,22.14,0,-15.69
126,4.204,red,observed,1.0,15.32,,red,1,22.76,0,-15.32
129,4.304,red,observed,1.0,15.47,,red,1,22.14,0,-15.47
132,4.404,red,observed,1.0,15.69,,red,1,23.38,0,-15.69
135,4.504,red,observed,1.0,15.69,,red,1,21.83,0,-15.69
138,4.605,red,observed,1.0,15.62,,red,1,22.03,0,-15.62
141,4.705,red,observed,1.0,15.54,,red,1,20.69,0,-15.54
144,4.805,red,observed,1.0,15.69,,red,1,21.21,0,-15.69
147,4.905,red,observed,1.0,15.32,,red,1,22.45,0,-15.32
150,5.005,red,observed,1.0,15.77,,red,1,22.76,0,-15.77
153,5.105,red,observed,1.0,15.92,,red,1,22.76,0,-15.92
156,5.205,red,observed,1.0,15.99,,red,1,23.28,0,-15.99
159,5.305,red,observed,1.0,14.94,,red,1,22.76,0,-14.94
162,5.405,red,observed,1.0,15.62,,red,1,23.79,0,-15.62
165,5.506,red,observed,1.0,15.17,,red,1,23.69,0,-15.17
168,5.606,red,observed,1.0,15.77,,red,1,22.24,0,-15.77
171,5.706,red,observed,1.0,15.84,,red,1,22.14,0,-15.84
174,5.806,red,observed,1.0,15.84,,red,1,22.96,0,-15.84
177,5.906,red,observed,1.0,15.77,,red,1,23.48,0,-15.77
180,6.006,red,observed,1.0,15.69,,red,1,22.76,0,-15.69
183,6.106,red,observed,1.0,15.17,,red,1,22.96,0,-15.17
186,6.206,red,observed,1.0,15.77,,red,1,23.17,0,-15.77
189,6.306,red,observed,1.0,15.62,,red,1,23.48,0,-15.62
192,6.406,red,observed,1.0,15.47,,red,1,23.07,0,-15.47
195,6.506,red,observed,1.0,15.77,,red,1,23.79,0,-15.77
198,6.607,red,observed,1.0,15.77,,red,1,23.07,0,-15.77
201,6.707,red,observed,1.0,15.69,,red,1,23.28,0,-15.69
204,6.807,red,observed,1.0,15.47,,red,1,22.45,0,-15.47
207,6.907,red,observed,1.0,15.54,,red,1,23.48,0,-15.54
210,7.007,red,observed,1.0,15.39,,red,1,22.14,0,-15.39
213,7.107,red,observed,1.0,15.09,,red,1,23.48,0,-15.09
216,7.207,red,observed,1.0,16.07,,red,1,23.48,0,-16.07
219,7.307,red,observed,1.0,15.47,,red,1,23.38,0,-15.47
222,7.407,red,observed,1.0,15.62,,red,1,22.24,0,-15.62
225,7.508,red,observed,1.0,15.54,,red,1,23.07,0,-15.54
228,7.608,red,observed,1.0,15.69,,red,1,23.17,0,-15.69
231,7.708,red,observed,1.0,15.69,,red,1,23.07,0,-15.69
234,7.808,red,observed,1.0,15.39,,red,1,24.72,0,-15.39
237,7.908,red,observed,1.0,15.54,,red,1,23.79,0,-15.54
240,8.008,red,observed,1.0,15.32,,red,1,24.0,0,-15.32
243,8.108,red,observed,1.0,15.54,,red,1,23.79,0,-15.54
246,8.208,red,observed,1.0,15.32,,red,1,23.48,0,-15.32
249,8.308,red,observed,1.0,15.17,,red,1,23.07,0,-15.17
252,8.408,red,observed,1.0,15.99,,red,1,22.65,0,-15.99
255,8.508,red,observed,1.0,16.37,,red,1,23.59,0,-16.37
258,8.609,red,observed,1.0,16.07,,red,1,23.59,0,-16.07
261,8.709,red,observed,1.0,15.54,,red,1,23.9,0,-15.54
264,8.809,red,observed,1.0,15.62,,red,1,22.34,0,-15.62
267,8.909,red,observed,1.0,15.77,,red,1,22.96,0,-15.77
270,9.009,red,observed,1.0,15.62,,red,1,23.9,0,-15.62
273,9.109,red,observed,1.0,15.92,,red,1,22.76,0,-15.92
276,9.209,red,observed,1.0,15.84,,red,1,23.69,0,-15.84
279,9.309,red,observed,1.0,15.92,,red,1,23.17,0,-15.92
282,9.409,red,observed,1.0,15.69,,red,1,23.28,0,-15.69
285,9.51,red,observed,1.0,15.77,,red,1,22.86,0,-15.77
288,9.61,red,observed,1.0,15.84,,red,1,21.72,0,-15.84
291,9.71,red,observed,1.0,15.62,,red,1,22.45,0,-15.62
294,9.81,red,observed,1.0,15.69,,red,1,22.65,0,-15.69
297,9.91,red,observed,1.0,15.84,,red,1,22.34,0,-15.84
300,10.01,red,observed,1.0,15.84,,red,1,22.96,0,-15.84
303,10.11,red,observed,1.0,15.24,,red,1,23.59,0,-15.24
306,10.21,red,observed,1.0,16.22,,red,1,23.69,0,-16.22
309,10.31,red,observed,1.0,15.84,,red,1,22.45,0,-15.84
312,10.41,red,observed,1.0,15.99,,red,1,22.24,0,-15.99
315,10.51,red,observed,1.0,16.37,,red,1,23.17,0,-16.37
318,10.611,red,observed,1.0,15.47,,red,1,22.14,0,-15.47
321,10.711,red,observed,1.0,15.32,,red,1,23.07,0,-15.32
324,10.811,red,observed,1.0,15.99,,red,1,22.14,0,-15.99
327,10.911,red,observed,1.0,16.14,,red,1,24.1,0,-16.14
330,11.011,red,observed,1.0,15.69,,red,1,21.83,0,-15.69
333,11.111,red,observed,1.0,15.32,,red,1,21.93,0,-15.32
336,11.211,red,observed,1.0,15.99,,red,1,22.14,0,-15.99
339,11.311,red,observed,1.0,16.14,,red,1,22.24,0,-16.14
342,11.411,red,observed,1.0,15.77,,red,1,21.72,0,-15.77
345,11.512,red,observed,1.0,15.69,,red,1,22.34,0,-15.69
348,11.612,red,observed,1.0,15.77,,red,1,21.72,0,-15.77
351,11.712,red,observed,1.0,16.14,,red,1,21.1,0,-16.14
354,11.812,red,observed,1.0,15.99,,red,1,21.72,0,-15.99
357,11.912,red,observed,1.0,15.62,,red,1,21.41,0,-15.62
360,12.012,red,observed,1.0,15.62,,red,1,22.03,0,-15.62
363,12.112,red,observed,1.0,15.24,,red,1,22.03,0,-15.24
366,12.212,red,observed,1.0,15.99,,red,1,22.03,0,-15.99
369,12.312,red,observed,1.0,16.29,,red,1,21.1,0,-16.29
372,12.412,red,observed,1.0,16.14,,red,1,22.76,0,-16.14
375,12.513,red,observed,1.0,15.69,,red,1,21.83,0,-15.69
378,12.613,red,observed,1.0,15.54,,red,1,21.52,0,-15.54
381,12.713,red,observed,1.0,15.62,,red,1,22.24,0,-15.62
384,12.813,red,observed,1.0,15.92,,red,1,21.41,0,-15.92
387,12.913,red,observed,1.0,15.84,,red,1,22.34,0,-15.84
390,13.013,red,observed,1.0,15.99,,red,1,21.41,0,-15.99
393,13.113,red,observed,1.0,15.92,,red,1,21.31,0,-15.92
396,13.213,red,observed,1.0,16.14,,red,1,21.62,0,-16.14
399,13.313,red,observed,1.0,16.37,,red,1,22.03,0,-16.37
402,13.413,red,observed,1.0,15.84,,red,1,22.55,0,-15.84
405,13.514,red,observed,1.0,16.14,,red,1,23.17,0,-16.14
408,13.614,red,observed,1.0,15.69,,red,1,21.93,0,-15.69
411,13.714,red,observed,1.0,15.92,,red,1,22.86,0,-15.92
414,13.814,red,observed,1.0,15.84,,red,1,21.83,0,-15.84
417,13.914,red,observed,1.0,16.22,,red,1,22.45,0,-16.22
420,14.014,red,observed,1.0,16.07,,red,1,23.38,0,-16.07
423,14.114,red,observed,1.0,15.92,,red,1,22.65,0,-15.92
426,14.214,red,observed,1.0,15.54,,red,1,22.76,0,-15.54
429,14.314,red,observed,1.0,16.22,,red,1,22.96,0,-16.22
432,14.414,red,observed,1.0,15.62,,red,1,23.38,0,-15.62
435,14.514,red,observed,1.0,15.54,,red,1,23.17,0,-15.54
438,14.615,red,observed,1.0,15.54,,red,1,21.93,0,-15.54
441,14.715,red,observed,1.0,15.32,,red,1,22.55,0,-15.32
444,14.815,red,observed,1.0,15.99,,red,1,21.62,0,-15.99
447,14.915,red,observed,1.0,15.92,,red,1,22.45,0,-15.92
450,15.015,red,observed,1.0,15.54,,red,1,23.9,0,-15.54
453,15.115,red,observed,1.0,16.22,,red,1,22.65,0,-16.22
456,15.215,red,observed,1.0,15.32,,red,1,22.14,0,-15.32
459,15.315,red,observed,1.0,15.99,,red,1,23.28,0,-15.99
462,15.415,red,observed,1.0,15.47,,red,1,22.55,0,-15.47
465,15.516,red,observed,1.0,15.62,,red,1,24.1,0,-15.62
468,15.616,red,observed,1.0,15.77,,red,1,23.59,0,-15.77
471,15.716,red,observed,1.0,16.07,,red,1,23.9,0,-16.07
474,15.816,red,observed,1.0,16.29,,red,1,23.59,0,-16.29
477,15.916,red,observed,1.0,16.07,,red,1,21.72,0,-16.07
480,16.016,red,observed,1.0,15.47,,red,1,22.34,0,-15.47
483,16.116,red,observed,1.0,16.37,,red,1,24.31,0,-16.37
486,16.216,red,observed,1.0,15.24,,red,1,24.83,0,-15.24
489,16.316,red,observed,1.0,15.54,,red,1,24.31,0,-15.54
492,16.416,red,observed,1.0,15.62,,red,1,23.38,0,-15.62
495,16.516,red,observed,1.0,16.07,,red,1,23.48,0,-16.07
498,16.617,red,observed,1.0,16.59,,red,1,22.76,0,-16.59
501,16.717,red,observed,1.0,16.29,,red,1,23.07,0,-16.29
504,16.817,red,observed,1.0,16.37,,red,1,23.28,0,-16.37
507,16.917,red,observed,1.0,15.84,,red,1,23.07,0,-15.84
510,17.017,red,observed,1.0,15.47,,red,1,24.1,0,-15.47
513,17.117,red,observed,1.0,15.84,,red,1,22.76,0,-15.84
516,17.217,red,observed,1.0,15.54,,red,1,22.86,0,-15.54
519,17.317,red,observed,1.0,15.54,,red,1,24.1,0,-15.54
522,17.417,red,observed,1.0,15.84,,red,1,24.0,0,-15.84
525,17.518,red,observed,1.0,16.29,,red,1,23.9,0,-16.29
528,17.618,red,observed,1.0,15.84,,red,1,23.69,0,-15.84
531,17.718,red,observed,1.0,16.07,,red,1,23.69,0,-16.07
534,17.818,red,observed,1.0,15.92,,red,1,22.86,0,-15.92
537,17.918,red,observed,1.0,15.69,,red,1,22.96,0,-15.69
540,18.018,red,observed,1.0,15.92,,red,1,24.83,0,-15.92
543,18.118,red,observed,1.0,15.47,,red,1,23.59,0,-15.47
546,18.218,red,observed,1.0,15.54,,red,1,23.79,0,-15.54
549,18.318,red,observed,1.0,15.47,,red,1,24.62,0,-15.47
552,18.418,red,observed,1.0,15.69,,red,1,24.62,0,-15.69
555,18.518,red,observed,1.0,15.77,,red,1,23.79,0,-15.77
558,18.619,red,observed,1.0,16.14,,red,1,22.45,0,-16.14
561,18.719,red,observed,1.0,16.37,,red,1,24.0,0,-16.37
564,18.819,red,observed,1.0,16.14,,red,1,23.9,0,-16.14
567,18.919,red,observed,1.0,15.77,,red,1,22.65,0,-15.77
570,19.019,red,observed,1.0,15.84,,red,1,23.9,0,-15.84
573,19.119,red,observed,1.0,16.52,,red,1,23.69,0,-16.52
576,19.219,red,observed,1.0,16.07,,red,1,22.86,0,-16.07
579,19.319,red,observed,1.0,15.17,,red,1,23.48,0,-15.17
582,19.419,red,observed,1.0,16.29,,red,1,22.34,0,-16.29
585,19.52,red,observed,1.0,15.92,,red,1,23.28,0,-15.92
588,19.62,red,observed,1.0,15.99,,red,1,22.96,0,-15.99
591,19.72,red,observed,1.0,15.92,,red,1,22.96,0,-15.92
594,19.82,red,observed,1.0,15.92,,red,1,22.86,0,-15.92
597,19.92,red,observed,1.0,15.54,,red,1,23.28,0,-15.54
600,20.02,red,observed,1.0,15.84,,red,1,21.72,0,-15.84
603,20.12,red,observed,1.0,15.54,,red,1,21.72,0,-15.54
606,20.22,red,observed,1.0,15.77,,red,1,22.96,0,-15.77
609,20.32,red,observed,1.0,16.22,,red,1,20.69,0,-16.22
612,20.42,red,observed,1.0,15.69,,red,1,22.55,0,-15.69
615,20.521,red,observed,1.0,15.84,,red,1,21.83,0,-15.84
618,20.621,red,observed,1.0,16.22,,red,1,21.21,0,-16.22
621,20.721,red,observed,1.0,15.77,,red,1,21.83,0,-15.77
624,20.821,red,observed,1.0,15.99,,red,1,22.34,0,-15.99
627,20.921,red,observed,1.0,15.54,,red,1,20.38,0,-15.54
630,21.021,red,observed,1.0,15.32,,red,1,21.83,0,-15.32
633,21.121,red,observed,1.0,15.84,,red,1,21.83,0,-15.84
636,21.221,red,observed,1.0,15.47,,red,1,21.83,0,-15.47
639,21.321,red,observed,1.0,14.94,,red,1,22.34,0,-14.94
642,21.421,red,observed,1.0,15.62,,red,1,21.0,0,-15.62
645,21.522,red,observed,1.0,16.52,,red,1,21.93,0,-16.52
648,21.622,red,observed,1.0,16.07,,red,1,21.0,0,-16.07
651,21.722,red,observed,1.0,15.69,,red,1,21.72,0,-15.69
654,21.822,red,observed,1.0,15.77,,red,1,22.45,0,-15.77
657,21.922,red,observed,1.0,15.47,,red,1,22.24,0,-15.47
660,22.022,red,observed,1.0,15.99,,red,1,20.59,0,-15.99
663,22.122,red,observed,1.0,16.14,,red,1,21.83,0,-16.14
666,22.222,red,observed,1.0,16.14,,red,1,21.62,0,-16.14
669,22.322,red,observed,1.0,15.92,,red,1,22.34,0,-15.92
672,22.422,red,observed,1.0,15.92,,red,1,21.52,0,-15.92
675,22.522,red,observed,1.0,16.44,,red,1,21.0,0,-16.44
678,22.623,red,observed,1.0,15.99,,red,1,22.34,0,-15.99
681,22.723,red,observed,1.0,15.92,,red,1,21.72,0,-15.92
684,22.823,red,observed,1.0,15.54,,red,1,21.72,0,-15.54
687,22.923,red,observed,1.0,14.56,,red,1,19.34,0,-14.56
690,23.023,red,observed,1.0,15.69,,red,1,23.48,0,-15.69
693,23.123,red,observed,1.0,15.62,,red,1,23.17,0,-15.62
696,23.223,red,observed,1.0,15.69,,red,1,23.69,0,-15.69
699,23.323,red,observed,1.0,16.07,,red,1,22.55,0,-16.07
702,23.423,red,observed,1.0,15.77,,red,1,22.76,0,-15.77
705,23.524,red,observed,1.0,15.69,,red,1,23.59,0,-15.69
708,23.624,red,observed,1.0,16.07,,red,1,21.83,0,-16.07
711,23.724,red,observed,1.0,16.22,,red,1,23.07,0,-16.22
714,23.824,red,observed,1.0,15.77,,red,1,23.9,0,-15.77
717,23.924,red,observed,1.0,15.62,,red,1,22.55,0,-15.62
720,24.024,red,observed,1.0,15.84,,red,1,22.24,0,-15.84
723,24.124,red,observed,1.0,15.54,,red,1,22.96,0,-15.54
726,24.224,red,observed,1.0,16.52,,red,1,23.69,0,-16.52
729,24.324,red,observed,1.0,15.47,,red,1,22.65,0,-15.47
732,24.424,red,observed,1.0,16.07,,red,1,22.86,0,-16.07
735,24.524,red,observed,1.0,15.24,,red,1,22.76,0,-15.24
738,24.625,red,observed,1.0,15.32,,red,1,23.17,0,-15.32
741,24.725,red,observed,1.0,15.47,,red,1,22.86,0,-15.47
744,24.825,red,observed,1.0,15.54,,red,1,24.1,0,-15.54
747,24.925,red,observed,1.0,16.14,,red,1,22.76,0,-16.14
750,25.025,red,observed,1.0,15.99,,red,1,22.14,0,-15.99
753,25.125,red,observed,1.0,15.77,,red,1,23.28,0,-15.77
756,25.225,red,observed,1.0,15.69,,red,1,22.45,0,-15.69
759,25.325,red,observed,1.0,15.69,,red,1,23.07,0,-15.69
762,25.425,red,observed,1.0,15.54,,red,1,23.9,0,-15.54
765,25.526,red,observed,1.0,15.32,,red,1,23.07,0,-15.32
768,25.626,red,observed,1.0,15.17,,red,1,24.72,0,-15.17
771,25.726,red,observed,1.0,15.09,,red,1,23.07,0,-15.09
774,25.826,red,observed,1.0,15.24,,red,1,23.48,0,-15.24
777,25.926,red,observed,1.0,15.32,,red,1,24.1,0,-15.32
780,26.026,red,observed,1.0,15.39,,red,1,24.21,0,-15.39
783,26.126,red,observed,1.0,15.77,,red,1,23.9,0,-15.77
786,26.226,red,observed,1.0,15.62,,red,1,23.17,0,-15.62
789,26.326,red,observed,1.0,15.99,,red,1,23.69,0,-15.99
792,26.426,red,observed,1.0,15.84,,red,1,24.1,0,-15.84
795,26.527,red,observed,1.0,15.99,,red,1,24.31,0,-15.99
798,26.627,red,observed,1.0,15.39,,red,1,23.28,0,-15.39
801,26.727,red,observed,1.0,15.17,,red,1,22.65,0,-15.17
804,26.827,red,observed,1.0,15.32,,red,1,22.45,0,-15.32
807,26.927,red,observed,1.0,15.54,,red,1,23.48,0,-15.54
