start_frame,end_frame,start_t,end_t,duration_s,state,n_samples,n_observed,n_imputed,n_unobserved,imputed,start_uncertainty_frames
0,1113,0.0,37.137,37.137,red,371,371,0,0,False,0
1113,2073,37.137,69.169,32.032,green,320,320,0,0,False,3
2073,2163,69.169,72.172,3.003,green_blink,30,30,0,0,False,3
2163,3510,72.172,117.117,44.945,red,449,449,0,0,False,3
3510,3513,117.117,117.217,0.1,unknown,1,0,0,1,False,3
3513,4470,117.217,149.149,31.932,green,319,319,0,0,False,6
4470,4560,149.149,152.152,3.003,green_blink,30,30,0,0,False,3
4560,5910,152.152,197.197,45.045,red,450,450,0,0,False,3
5910,6867,197.197,229.129,31.932,green,319,319,0,0,False,3
6867,6957,229.129,232.132,3.003,green_blink,30,30,0,0,False,3
6957,8307,232.132,277.177,45.045,red,450,450,0,0,False,3
8307,9267,277.177,309.209,32.032,green,320,320,0,0,False,3
9267,9357,309.209,312.212,3.003,green_blink,30,29,1,0,True,3
9357,9525,312.212,317.818,5.606,red,56,56,0,0,False,3
