frame,t_sec,state,observation,confidence,margin_sd,reason,v3_label,red_on,red_z,amber_on,amber_z,green_on,green_z
0,0.0,red,observed,1.0,19.95,,red,1,19.95,0,-22.9,0,-23.5
3,0.1,red,observed,1.0,19.65,,red,1,19.65,0,-23.17,0,-23.33
6,0.2,red,observed,1.0,20.3,,red,1,20.3,0,-22.9,0,-23.4
9,0.3,red,observed,1.0,19.41,,red,1,19.41,0,-23.43,0,-23.59
12,0.4,red,observed,1.0,19.6,,red,1,19.6,0,-22.97,0,-23.3
15,0.501,red,observed,1.0,19.43,,red,1,19.43,0,-23.49,0,-23.46
18,0.601,red,observed,1.0,19.51,,red,1,19.51,0,-23.1,0,-23.13
21,0.701,red,observed,1.0,20.06,,red,1,20.06,0,-23.1,0,-23.13
24,0.801,red,observed,1.0,19.87,,red,1,19.87,0,-22.71,0,-23.07
27,0.901,red,observed,1.0,19.73,,red,1,19.73,0,-23.03,0,-23.43
30,1.001,red,observed,1.0,19.76,,red,1,19.76,0,-23.17,0,-23.43
33,1.101,red,observed,1.0,19.41,,red,1,19.41,0,-23.17,0,-23.26
36,1.201,red,observed,1.0,19.08,,red,1,19.08,0,-23.03,0,-23.1
39,1.301,red,observed,1.0,19.38,,red,1,19.38,0,-23.43,0,-23.59
42,1.401,red,observed,1.0,19.54,,red,1,19.54,0,-23.36,0,-23.53
45,1.502,red,observed,1.0,19.6,,red,1,19.6,0,-23.03,0,-23.4
48,1.602,red,observed,1.0,19.35,,red,1,19.35,0,-22.71,0,-23.46
51,1.702,red,observed,1.0,19.24,,red,1,19.24,0,-22.71,0,-23.43
54,1.802,red,observed,1.0,19.54,,red,1,19.54,0,-22.9,0,-23.63
57,1.902,red,observed,1.0,19.3,,red,1,19.3,0,-23.1,0,-23.33
60,2.002,red,observed,1.0,19.13,,red,1,19.13,0,-23.96,0,-23.13
63,2.102,red,observed,1.0,19.6,,red,1,19.6,0,-22.9,0,-23.13
66,2.202,red,observed,1.0,19.19,,red,1,19.19,0,-22.9,0,-22.93
69,2.302,red,observed,1.0,19.51,,red,1,19.51,0,-22.84,0,-23.3
72,2.402,red,observed,1.0,19.24,,red,1,19.24,0,-22.64,0,-23.5
75,2.502,red,observed,1.0,19.65,,red,1,19.65,0,-22.57,0,-23.43
78,2.603,red,observed,1.0,19.73,,red,1,19.73,0,-22.84,0,-23.36
81,2.703,red,observed,1.0,19.43,,red,1,19.43,0,-23.3,0,-23.26
84,2.803,red,observed,1.0,19.24,,red,1,19.24,0,-23.43,0,-23.2
87,2.903,red,observed,1.0,19.22,,red,1,19.22,0,-23.17,0,-23.26
90,3.003,red,observed,1.0,19.49,,red,1,19.49,0,-22.84,0,-23.53
93,3.103,red,observed,1.0,19.22,,red,1,19.22,0,-23.36,0,-23.59
96,3.203,red,observed,1.0,19.24,,red,1,19.24,0,-22.64,0,-23.03
99,3.303,red,observed,1.0,19.19,,red,1,19.19,0,-22.84,0,-23.13
102,3.403,red,observed,1.0,19.6,,red,1,19.6,0,-23.23,0,-23.36
105,3.504,red,observed,1.0,19.79,,red,1,19.79,0,-22.71,0,-23.13
108,3.604,red,observed,1.0,19.32,,red,1,19.32,0,-22.97,0,-22.93
111,3.704,red,observed,1.0,19.27,,red,1,19.27,0,-23.23,0,-23.2
114,3.804,red,observed,1.0,19.38,,red,1,19.38,0,-23.76,0,-23.0
117,3.904,red,observed,1.0,19.49,,red,1,19.49,0,-22.71,0,-23.2
120,4.004,red,observed,1.0,19.81,,red,1,19.81,0,-22.97,0,-23.2
123,4.104,red,observed,1.0,19.38,,red,1,19.38,0,-22.9,0,-23.3
126,4.204,red,observed,1.0,19.43,,red,1,19.43,0,-23.43,0,-23.23
129,4.304,red,observed,1.0,19.49,,red,1,19.49,0,-22.77,0,-23.36
132,4.404,red,observed,1.0,19.6,,red,1,19.6,0,-22.51,0,-23.23
135,4.504,red,observed,1.0,19.41,,red,1,19.41,0,-23.17,0,-23.26
138,4.605,red,observed,1.0,19.32,,red,1,19.32,0,-23.3,0,-23.17
141,4.705,red,observed,1.0,19.65,,red,1,19.65,0,-22.51,0,-23.46
144,4.805,red,observed,1.0,19.3,,red,1,19.3,0,-23.36,0,-23.03
147,4.905,red,observed,1.0,19.24,,red,1,19.24,0,-23.03,0,-23.46
150,5.005,red,observed,1.0,19.46,,red,1,19.46,0,-23.17,0,-23.03
153,5.105,red,observed,1.0,19.19,,red,1,19.19,0,-23.03,0,-23.43
156,5.205,red,observed,1.0,19.68,,red,1,19.68,0,-22.84,0,-23.1
159,5.305,red,observed,1.0,19.38,,red,1,19.38,0,-23.17,0,-23.17
162,5.405,red,observed,1.0,19.35,,red,1,19.35,0,-22.97,0,-23.07
165,5.506,red,observed,1.0,19.32,,red,1,19.32,0,-23.17,0,-23.63
168,5.606,red,observed,1.0,19.27,,red,1,19.27,0,-22.57,0,-23.1
171,5.706,red,observed,1.0,19.27,,red,1,19.27,0,-23.1,0,-23.0
174,5.806,red,observed,1.0,19.51,,red,1,19.51,0,-22.71,0,-23.23
177,5.906,red,observed,1.0,19.49,,red,1,19.49,0,-22.71,0,-23.07
180,6.006,red,observed,1.0,19.19,,red,1,19.19,0,-23.36,0,-23.3
183,6.106,red,observed,1.0,19.19,,red,1,19.19,0,-22.84,0,-23.1
186,6.206,red,observed,1.0,19.27,,red,1,19.27,0,-23.36,0,-23.0
189,6.306,red,observed,1.0,19.24,,red,1,19.24,0,-23.17,0,-23.3
192,6.406,red,observed,1.0,19.3,,red,1,19.3,0,-23.3,0,-23.36
195,6.506,red,observed,1.0,19.32,,red,1,19.32,0,-23.3,0,-23.17
198,6.607,red,observed,1.0,19.68,,red,1,19.68,0,-22.84,0,-23.4
