start_frame,end_frame,start_t,end_t,duration_s,state,n_samples,n_observed,n_imputed,n_unobserved,imputed,start_uncertainty_frames
0,597,0.0,19.92,19.92,red,199,199,0,0,False,0
597,1491,19.92,49.75,29.83,green,298,298,0,0,False,3
1491,1581,49.75,52.753,3.003,green_blink,30,30,0,0,False,3
1581,2838,52.753,94.695,41.942,red,419,419,0,0,False,3
2838,3738,94.695,124.725,30.03,green,300,300,0,0,False,3
3738,3828,124.725,127.728,3.003,green_blink,30,30,0,0,False,3
3828,5088,127.728,169.77,42.042,red,420,420,0,0,False,3
5088,5991,169.77,199.9,30.13,green,301,301,0,0,False,3
5991,6081,199.9,202.903,3.003,green_blink,30,30,0,0,False,3
6081,7341,202.903,244.945,42.042,red,420,420,0,0,False,3
7341,8238,244.945,274.875,29.93,green,299,299,0,0,False,3
8238,8331,274.875,277.978,3.103,green_blink,31,31,0,0,False,3
8331,9525,277.978,317.818,39.84,red,398,398,0,0,False,3
