start_frame,end_frame,start_t,end_t,duration_s,state,n_samples,n_observed,n_imputed,n_unobserved,imputed,start_uncertainty_frames
0,1023,0.0,34.134,34.134,red,341,341,0,0,False,0
1023,1113,34.134,37.137,3.003,red_amber,30,30,0,0,False,3
1113,2163,37.137,72.172,35.035,green,350,350,0,0,False,3
2163,2253,72.172,75.175,3.003,green_blink,30,27,3,0,True,3
2253,2343,75.175,78.178,3.003,amber,30,30,0,0,False,3
2343,3423,78.178,114.214,36.036,red,360,360,0,0,False,3
3423,3441,114.214,114.815,0.601,red_amber,6,6,0,0,False,3
3441,3510,114.815,117.117,2.302,unknown,23,0,0,23,False,3
3510,4560,117.117,152.152,35.035,green,350,350,0,0,False,72
4560,4650,152.152,155.155,3.003,green_blink,30,27,3,0,True,3
4650,4740,155.155,158.158,3.003,amber,30,30,0,0,False,3
4740,5820,158.158,194.194,36.036,red,360,360,0,0,False,3
5820,5910,194.194,197.197,3.003,red_amber,30,30,0,0,False,3
5910,6729,197.197,224.524,27.327,green,273,273,0,0,False,3
6729,7047,224.524,235.135,10.611,unknown,106,0,0,106,False,3
7047,7137,235.135,238.138,3.003,amber,30,30,0,0,False,321
7137,8217,238.138,274.174,36.036,red,360,360,0,0,False,3
8217,8304,274.174,277.077,2.903,red_amber,29,27,2,0,True,3
8304,8307,277.077,277.177,0.1,unknown,1,0,0,1,False,3
8307,9357,277.177,312.212,35.035,green,350,339,11,0,True,6
9357,9447,312.212,315.215,3.003,green_blink,30,30,0,0,False,3
9447,9525,315.215,317.818,2.603,amber,26,26,0,0,False,3
