frame,t_sec,state,observation,confidence,margin_sd,reason,v3_label,red_on,red_z,green_on,green_z
0,0.0,red,observed,1.0,16.12,,red,1,19.51,0,-16.12
3,0.1,red,observed,1.0,15.84,,red,1,18.15,0,-15.84
6,0.2,red,observed,1.0,16.12,,red,1,17.39,0,-16.12
9,0.3,red,observed,1.0,15.81,,red,1,18.0,0,-15.81
12,0.4,red,observed,1.0,15.77,,red,1,18.49,0,-15.77
15,0.501,red,observed,1.0,15.9,,red,1,19.02,0,-15.9
18,0.601,red,observed,1.0,16.32,,red,1,17.62,0,-16.32
21,0.701,red,observed,1.0,16.32,,red,1,17.66,0,-16.32
24,0.801,red,observed,1.0,16.25,,red,1,18.07,0,-16.25
27,0.901,red,observed,1.0,16.19,,red,1,17.43,0,-16.19
30,1.001,red,observed,1.0,15.93,,red,1,18.11,0,-15.93
33,1.101,red,observed,1.0,15.87,,red,1,17.54,0,-15.87
36,1.201,red,observed,1.0,15.58,,red,1,18.26,0,-15.58
39,1.301,red,observed,1.0,16.0,,red,1,18.68,0,-16.0
42,1.401,red,observed,1.0,16.09,,red,1,18.45,0,-16.09
45,1.502,red,observed,1.0,15.96,,red,1,18.34,0,-15.96
48,1.602,red,observed,1.0,16.0,,red,1,18.87,0,-16.0
51,1.702,red,observed,1.0,15.84,,red,1,18.3,0,-15.84
54,1.802,red,observed,1.0,16.06,,red,1,17.62,0,-16.06
57,1.902,red,observed,1.0,16.06,,red,1,17.5,0,-16.06
60,2.002,red,observed,1.0,16.28,,red,1,17.77,0,-16.28
63,2.102,red,observed,1.0,16.16,,red,1,17.54,0,-16.16
66,2.202,red,observed,1.0,16.06,,red,1,17.58,0,-16.06
69,2.302,red,observed,1.0,16.28,,red,1,17.66,0,-16.28
72,2.402,red,observed,1.0,15.71,,red,1,17.58,0,-15.71
75,2.502,red,observed,1.0,16.16,,red,1,17.77,0,-16.16
78,2.603,red,observed,1.0,15.93,,red,1,17.73,0,-15.93
81,2.703,red,observed,1.0,16.03,,red,1,18.07,0,-16.03
84,2.803,red,observed,1.0,16.19,,red,1,17.88,0,-16.19
87,2.903,red,observed,1.0,16.16,,red,1,18.64,0,-16.16
90,3.003,red,observed,1.0,15.9,,red,1,18.07,0,-15.9
93,3.103,red,observed,1.0,16.35,,red,1,18.0,0,-16.35
96,3.203,red,observed,1.0,16.06,,red,1,18.38,0,-16.06
99,3.303,red,observed,1.0,16.06,,red,1,18.07,0,-16.06
102,3.403,red,observed,1.0,16.0,,red,1,18.6,0,-16.0
105,3.504,red,observed,1.0,15.74,,red,1,18.6,0,-15.74
108,3.604,red,observed,1.0,15.84,,red,1,17.92,0,-15.84
111,3.704,red,observed,1.0,15.96,,red,1,18.87,0,-15.96
114,3.804,red,observed,1.0,16.22,,red,1,18.0,0,-16.22
117,3.904,red,observed,1.0,16.25,,red,1,18.68,0,-16.25
120,4.004,red,observed,1.0,15.81,,red,1,18.94,0,-15.81
123,4.104,red,observed,1.0,15.87,,red,1,18.72,0,-15.87
126,4.204,red,observed,1.0,16.09,,red,1,18.03,0,-16.09
129,4.304,red,observed,1.0,16.22,,red,1,18.3,0,-16.22
132,4.404,red,observed,1.0,15.71,,red,1,18.72,0,-15.71
135,4.504,red,observed,1.0,15.87,,red,1,18.34,0,-15.87
138,4.605,red,observed,1.0,16.16,,red,1,18.56,0,-16.16
141,4.705,red,observed,1.0,16.03,,red,1,18.34,0,-16.03
144,4.805,red,observed,1.0,16.0,,red,1,18.64,0,-16.0
147,4.905,red,observed,1.0,16.19,,red,1,18.56,0,-16.19
150,5.005,red,observed,1.0,16.03,,red,1,18.56,0,-16.03
153,5.105,red,observed,1.0,16.38,,red,1,18.72,0,-16.38
156,5.205,red,observed,1.0,15.81,,red,1,18.19,0,-15.81
159,5.305,red,observed,1.0,16.0,,red,1,18.56,0,-16.0
162,5.405,red,observed,1.0,16.09,,red,1,20.53,0,-16.09
165,5.506,red,observed,1.0,15.81,,red,1,18.19,0,-15.81
168,5.606,red,observed,1.0,15.87,,red,1,18.45,0,-15.87
171,5.706,red,observed,1.0,15.74,,red,1,18.11,0,-15.74
174,5.806,red,observed,1.0,16.28,,red,1,18.68,0,-16.28
177,5.906,red,observed,1.0,16.28,,red,1,18.07,0,-16.28
