frame,t_sec,state,observation,confidence,margin_sd,reason,v3_label,red_on,red_z,green_on,green_z
0,0.0,red,observed,1.0,25.82,,red,1,41.64,0,-25.82
3,0.1,red,observed,1.0,25.93,,red,1,40.76,0,-25.93
6,0.2,red,observed,1.0,26.03,,red,1,42.67,0,-26.03
9,0.3,red,observed,1.0,26.29,,red,1,43.55,0,-26.29
12,0.4,red,observed,1.0,26.45,,red,1,41.96,0,-26.45
15,0.501,red,observed,1.0,25.93,,red,1,43.23,0,-25.93
18,0.601,red,observed,1.0,26.08,,red,1,42.67,0,-26.08
21,0.701,red,observed,1.0,26.24,,red,1,42.67,0,-26.24
24,0.801,red,observed,1.0,26.03,,red,1,42.44,0,-26.03
27,0.901,red,observed,1.0,26.03,,red,1,41.96,0,-26.03
30,1.001,red,observed,1.0,26.24,,red,1,40.92,0,-26.24
33,1.101,red,observed,1.0,26.14,,red,1,40.84,0,-26.14
36,1.201,red,observed,1.0,26.56,,red,1,43.63,0,-26.56
39,1.301,red,observed,1.0,25.82,,red,1,43.71,0,-25.82
42,1.401,red,observed,1.0,25.61,,red,1,42.83,0,-25.61
45,1.502,red,observed,1.0,25.56,,red,1,42.59,0,-25.56
48,1.602,red,observed,1.0,25.98,,red,1,41.4,0,-25.98
51,1.702,red,observed,1.0,26.08,,red,1,42.2,0,-26.08
54,1.802,red,observed,1.0,25.66,,red,1,41.88,0,-25.66
57,1.902,red,observed,1.0,26.29,,red,1,42.04,0,-26.29
60,2.002,red,observed,1.0,25.66,,red,1,42.2,0,-25.66
63,2.102,red,observed,1.0,25.61,,red,1,41.96,0,-25.61
66,2.202,red,observed,1.0,25.35,,red,1,42.36,0,-25.35
69,2.302,red,observed,1.0,26.56,,red,1,42.67,0,-26.56
72,2.402,red,observed,1.0,26.08,,red,1,42.67,0,-26.08
75,2.502,red,observed,1.0,26.08,,red,1,42.28,0,-26.08
78,2.603,red,observed,1.0,26.29,,red,1,41.96,0,-26.29
81,2.703,red,observed,1.0,26.14,,red,1,41.88,0,-26.14
84,2.803,red,observed,1.0,26.45,,red,1,42.12,0,-26.45
87,2.903,red,observed,1.0,26.19,,red,1,41.88,0,-26.19
90,3.003,red,observed,1.0,26.4,,red,1,41.8,0,-26.4
93,3.103,red,observed,1.0,25.98,,red,1,41.64,0,-25.98
96,3.203,red,observed,1.0,26.03,,red,1,40.92,0,-26.03
99,3.303,red,observed,1.0,25.4,,red,1,41.32,0,-25.4
102,3.403,red,observed,1.0,25.72,,red,1,41.88,0,-25.72
105,3.504,red,observed,1.0,25.77,,red,1,41.16,0,-25.77
108,3.604,red,observed,1.0,25.82,,red,1,42.12,0,-25.82
111,3.704,red,observed,1.0,25.82,,red,1,41.64,0,-25.82
114,3.804,red,observed,1.0,26.61,,red,1,41.56,0,-26.61
117,3.904,red,observed,1.0,26.19,,red,1,42.44,0,-26.19
120,4.004,red,observed,1.0,25.87,,red,1,42.83,0,-25.87
123,4.104,red,observed,1.0,26.24,,red,1,41.72,0,-26.24
126,4.204,red,observed,1.0,25.87,,red,1,42.75,0,-25.87
129,4.304,red,observed,1.0,26.14,,red,1,42.36,0,-26.14
132,4.404,red,observed,1.0,25.82,,red,1,42.36,0,-25.82
135,4.504,red,observed,1.0,26.24,,red,1,42.44,0,-26.24
138,4.605,red,observed,1.0,25.77,,red,1,41.0,0,-25.77
141,4.705,red,observed,1.0,25.77,,red,1,43.31,0,-25.77
144,4.805,red,observed,1.0,26.03,,red,1,42.51,0,-26.03
147,4.905,red,observed,1.0,25.66,,red,1,42.67,0,-25.66
150,5.005,red,observed,1.0,26.03,,red,1,42.51,0,-26.03
153,5.105,red,observed,1.0,25.82,,red,1,43.15,0,-25.82
156,5.205,red,observed,1.0,25.77,,red,1,43.31,0,-25.77
159,5.305,red,observed,1.0,26.08,,red,1,42.59,0,-26.08
162,5.405,red,observed,1.0,26.08,,red,1,43.63,0,-26.08
165,5.506,red,observed,1.0,25.61,,red,1,43.15,0,-25.61
168,5.606,red,observed,1.0,25.66,,red,1,43.23,0,-25.66
171,5.706,red,observed,1.0,26.14,,red,1,42.67,0,-26.14
174,5.806,red,observed,1.0,25.93,,red,1,42.99,0,-25.93
177,5.906,red,observed,1.0,26.14,,red,1,43.39,0,-26.14
180,6.006,red,observed,1.0,25.93,,red,1,43.95,0,-25.93
183,6.106,red,observed,1.0,25.82,,red,1,43.79,0,-25.82
186,6.206,red,observed,1.0,26.19,,red,1,43.47,0,-26.19
189,6.306,red,observed,1.0,26.08,,red,1,43.07,0,-26.08
192,6.406,red,observed,1.0,25.93,,red,1,42.99,0,-25.93
195,6.506,red,observed,1.0,25.82,,red,1,43.15,0,-25.82
198,6.607,red,observed,1.0,26.14,,red,1,42.51,0,-26.14
201,6.707,red,observed,1.0,26.19,,red,1,43.15,0,-26.19
204,6.807,red,observed,1.0,26.66,,red,1,43.55,0,-26.66
207,6.907,red,observed,1.0,26.03,,red,1,43.23,0,-26.03
210,7.007,red,observed,1.0,26.14,,red,1,42.67,0,-26.14
213,7.107,red,observed,1.0,26.19,,red,1,43.39,0,-26.19
216,7.207,red,observed,1.0,25.61,,red,1,42.51,0,-25.61
219,7.307,red,observed,1.0,26.24,,red,1,42.67,0,-26.24
222,7.407,red,observed,1.0,26.03,,red,1,42.83,0,-26.03
225,7.508,red,observed,1.0,26.08,,red,1,43.07,0,-26.08
228,7.608,red,observed,1.0,25.87,,red,1,43.31,0,-25.87
231,7.708,red,observed,1.0,26.03,,red,1,43.87,0,-26.03
234,7.808,red,observed,1.0,25.93,,red,1,43.79,0,-25.93
237,7.908,red,observed,1.0,25.51,,red,1,42.83,0,-25.51
240,8.008,red,observed,1.0,26.19,,red,1,43.39,0,-26.19
243,8.108,red,observed,1.0,25.87,,red,1,43.15,0,-25.87
246,8.208,red,observed,1.0,26.35,,red,1,43.79,0,-26.35
249,8.308,red,observed,1.0,26.03,,red,1,43.63,0,-26.03
252,8.408,red,observed,1.0,26.03,,red,1,43.87,0,-26.03
255,8.508,red,observed,1.0,26.19,,red,1,44.03,0,-26.19
258,8.609,red,observed,1.0,25.82,,red,1,42.99,0,-25.82
261,8.709,red,observed,1.0,25.61,,red,1,42.83,0,-25.61
264,8.809,red,observed,1.0,25.98,,red,1,43.47,0,-25.98
267,8.909,red,observed,1.0,26.03,,red,1,43.39,0,-26.03
270,9.009,red,observed,1.0,26.56,,red,1,43.07,0,-26.56
273,9.109,red,observed,1.0,26.5,,red,1,42.99,0,-26.5
276,9.209,red,observed,1.0,25.98,,red,1,43.23,0,-25.98
279,9.309,red,observed,1.0,26.19,,red,1,43.39,0,-26.19
282,9.409,red,observed,1.0,25.93,,red,1,43.95,0,-25.93
285,9.51,red,observed,1.0,25.87,,red,1,43.07,0,-25.87
288,9.61,red,observed,1.0,25.98,,red,1,43.79,0,-25.98
291,9.71,red,observed,1.0,26.14,,red,1,45.79,0,-26.14
294,9.81,red,observed,1.0,26.19,,red,1,45.39,0,-26.19
297,9.91,red,observed,1.0,26.4,,red,1,45.87,0,-26.4
300,10.01,red,observed,1.0,25.93,,red,1,45.39,0,-25.93
303,10.11,red,observed,1.0,26.24,,red,1,45.94,0,-26.24
306,10.21,red,observed,1.0,26.19,,red,1,45.87,0,-26.19
309,10.31,red,observed,1.0,26.24,,red,1,45.15,0,-26.24
312,10.41,red,observed,1.0,25.98,,red,1,45.55,0,-25.98
315,10.51,red,observed,1.0,25.35,,red,1,45.55,0,-25.35
318,10.611,red,observed,1.0,26.19,,red,1,44.91,0,-26.19
