t,red0,amber0,green0,red1,amber1,green1,red2,amber2,green2,red3,amber3,green3
0.0,0.011470985155195682,0.003036437246963563,0.0,0.01626984126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10010000000000001,0.008771929824561403,0.0033738191632928477,0.0,0.017063492063492062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20020000000000002,0.009109311740890687,0.0043859649122807015,0.0,0.02261904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3003,0.010458839406207827,0.0043859649122807015,0.0,0.018253968253968255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40040000000000003,0.009446693657219974,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5005000000000001,0.009784075573549258,0.004048582995951417,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6006,0.009446693657219974,0.003711201079622132,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7007,0.008771929824561403,0.004048582995951417,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8008000000000001,0.008771929824561403,0.004048582995951417,0.0,0.01626984126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9009,0.010121457489878543,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0010000000000001,0.009109311740890687,0.0043859649122807015,0.0,0.01626984126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1011,0.008771929824561403,0.004048582995951417,0.0,0.01626984126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2012,0.009446693657219974,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3013000000000001,0.009109311740890687,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0030153508771929823,0.0,0.0,0.0,0.0,0.0
1.4014,0.007422402159244264,0.003711201079622132,0.0,0.015873015873015872,0.0,0.0,0.005482456140350877,0.0,0.0,0.0,0.0,0.0
1.5015,0.009109311740890687,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.02055921052631579,0.0,0.0,0.0,0.0,0.0
1.6016000000000001,0.008434547908232119,0.003711201079622132,0.0,0.015873015873015872,0.0,0.0,0.003289473684210526,0.0,0.0,0.0,0.0,0.0
1.7017,0.009446693657219974,0.004048582995951417,0.0,0.015873015873015872,0.0,0.0,0.005482456140350877,0.0,0.0,0.0,0.0,0.0
1.8018,0.009446693657219974,0.004048582995951417,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9019,0.009784075573549258,0.004048582995951417,0.0,0.018253968253968255,0.0003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0020000000000002,0.009446693657219974,0.004048582995951417,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1021,0.009446693657219974,0.004048582995951417,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2022,0.009784075573549258,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3023000000000002,0.009784075573549258,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4024,0.009109311740890687,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5025,0.00708502024291498,0.003711201079622132,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6026000000000002,0.009109311740890687,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7027,0.009109311740890687,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8028,0.009109311740890687,0.0043859649122807015,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
