frame,t,state,red_score,amber_score,green_score,before_v2_rule
0,0.0,red,24.0,-2.8,-3.5,none
3,0.1,red,23.4,-2.7,-3.3,none
6,0.2,red,22.8,-2.6,-2.8,none
9,0.3,red,24.7,-2.8,-3.1,none
12,0.4,red,23.2,-2.0,-3.1,none
15,0.501,red,23.4,-3.0,-3.3,none
18,0.601,red,22.6,-3.2,-2.7,none
21,0.701,red,22.0,-2.7,-2.8,none
24,0.801,red,23.0,-2.5,-3.3,none
27,0.901,red,24.7,-2.7,-3.3,none
30,1.001,red,23.4,-2.3,-3.1,none
33,1.101,red,23.4,-2.7,-3.2,none
36,1.201,red,23.5,-3.0,-3.1,none
39,1.301,red,25.0,-2.7,-2.7,none
42,1.401,red,24.0,-2.1,-3.3,none
45,1.502,red,22.5,-2.7,-3.4,none
48,1.602,red,24.5,-2.5,-2.9,none
51,1.702,red,24.9,-2.7,-2.2,none
54,1.802,red,24.1,-3.5,-3.0,none
57,1.902,red,24.3,-2.1,-3.5,none
60,2.002,red,23.7,-1.9,-2.2,none
63,2.102,red,24.5,-1.9,-3.0,none
66,2.202,red,23.3,-1.8,-2.6,none
69,2.302,red,23.5,-2.4,-3.2,none
72,2.402,red,23.3,-2.3,-3.3,none
75,2.502,red,24.0,-2.6,-3.2,none
78,2.603,red,24.3,-3.3,-2.2,none
81,2.703,red,23.8,-1.5,-2.2,none
84,2.803,red,23.9,-2.9,-2.9,none
87,2.903,red,23.6,-3.0,-3.4,none
90,3.003,red,23.9,-2.8,-2.8,none
93,3.103,red,23.9,-2.5,-2.9,none
96,3.203,red,23.2,-2.3,-3.7,none
99,3.303,red,23.7,-2.3,-3.1,none
102,3.403,red,23.6,-1.8,-3.0,none
105,3.504,red,24.0,-1.7,-3.2,none
108,3.604,red,23.5,-1.6,-2.7,none
111,3.704,red,24.3,-1.9,-3.0,none
114,3.804,red,23.0,-1.7,-3.1,none
117,3.904,red,22.8,-2.6,-3.1,none
120,4.004,red,21.8,-3.0,-3.5,none
123,4.104,red,23.1,-2.5,-3.6,none
126,4.204,red,22.6,-2.9,-2.7,none
129,4.304,red,21.9,-2.5,-3.5,none
132,4.404,red,22.5,-2.9,-2.6,none
135,4.504,red,23.1,-2.3,-3.3,none
138,4.605,red,23.5,-2.1,-3.5,none
141,4.705,red,22.4,-2.4,-3.8,none
144,4.805,red,22.9,-2.3,-3.4,none
147,4.905,red,22.5,-2.5,-3.3,none
150,5.005,red,22.8,-2.0,-2.5,none
153,5.105,red,23.7,-1.6,-3.0,none
156,5.205,red,23.0,-1.7,-3.6,none
159,5.305,red,22.8,-1.9,-3.4,none
162,5.405,red,22.7,-2.0,-2.7,none
165,5.506,red,22.9,-1.7,-2.7,none
168,5.606,red,23.4,-2.1,-3.1,none
171,5.706,red,22.3,-1.5,-2.7,none
174,5.806,red,22.7,-2.3,-3.7,none
177,5.906,red,23.5,-0.9,-3.5,none
180,6.006,red,22.9,-2.4,-3.2,none
183,6.106,red,23.6,-2.5,-3.2,none
186,6.206,red,22.6,-2.2,-3.2,none
189,6.306,red,23.3,-2.4,-2.2,none
192,6.406,red,22.7,-2.2,-3.3,none
195,6.506,red,23.5,-1.7,-4.0,none
198,6.607,red,24.1,-1.8,-3.4,none
201,6.707,red,23.6,-2.1,-3.8,none
204,6.807,red,23.3,-1.9,-3.0,none
207,6.907,red,23.0,-2.2,-3.1,none
210,7.007,red,24.4,-2.2,-4.1,none
213,7.107,red,24.2,-2.2,-3.5,none
216,7.207,red,23.1,-2.4,-4.1,none
219,7.307,red,23.2,-3.3,-3.2,red
222,7.407,red,23.5,-1.9,-3.2,none
225,7.508,red,24.4,-1.8,-4.3,none
228,7.608,red,23.6,-2.6,-3.0,red
231,7.708,red,24.3,-3.3,-3.3,none
234,7.808,red,23.8,-2.9,-3.5,red
237,7.908,red,23.6,-2.2,-3.6,red
240,8.008,red,24.7,-2.8,-3.5,red
243,8.108,red,24.5,-2.5,-3.4,red
246,8.208,red,23.4,-2.6,-3.8,none
249,8.308,red,23.5,-3.5,-3.6,none
252,8.408,red,23.2,-2.8,-3.3,none
255,8.508,red,23.3,-3.0,-2.5,none
258,8.609,red,22.8,-3.3,-3.0,none
261,8.709,red,23.8,-2.9,-3.6,none
264,8.809,red,23.4,-3.3,-3.3,none
267,8.909,red,22.9,-3.3,-2.8,none
270,9.009,red,23.4,-2.1,-2.8,none
273,9.109,red,23.8,-1.7,-2.9,none
276,9.209,red,23.6,-2.3,-3.6,none
279,9.309,red,23.4,-3.1,-3.1,none
282,9.409,red,23.5,-1.2,-3.0,none
285,9.51,red,22.5,-4.0,-2.9,none
288,9.61,red,23.0,-2.5,-3.0,none
291,9.71,red,23.2,-3.2,-2.9,none
294,9.81,red,24.1,-2.2,-3.4,none
297,9.91,red,22.0,-2.6,-3.0,none
300,10.01,red,21.8,-2.4,-3.8,none
303,10.11,red,22.0,-2.1,-3.6,none
306,10.21,red,21.7,-3.2,-3.5,none
309,10.31,red,21.0,-3.1,-3.8,none
312,10.41,red,21.8,-2.5,-3.3,none
315,10.51,red,21.8,-2.8,-3.9,none
318,10.611,red,22.2,-2.0,-2.9,none
321,10.711,red,22.5,-2.2,-3.5,none
324,10.811,red,23.4,-2.0,-2.6,none
327,10.911,red,22.8,-1.5,-2.8,none
330,11.011,red,22.7,-2.6,-3.7,none
333,11.111,red,21.7,-2.4,-3.3,none
336,11.211,red,22.7,-2.2,-3.5,none
339,11.311,red,23.0,-1.9,-3.5,none
342,11.411,red,21.7,-2.2,-3.7,none
345,11.512,red,22.5,-2.4,-3.8,none
348,11.612,red,22.8,-2.2,-3.0,none
351,11.712,red,22.4,-2.2,-3.5,none
354,11.812,red,22.9,-2.3,-3.2,none
357,11.912,red,22.1,-2.2,-3.3,none
360,12.012,red,22.6,-1.5,-3.1,none
363,12.112,red,22.2,-1.3,-3.9,none
366,12.212,red,23.6,-1.3,-2.6,none
369,12.312,red,23.3,-2.5,-3.3,none
372,12.412,red,23.1,-1.7,-3.2,none
375,12.513,red,22.8,-1.3,-3.1,none
378,12.613,red,23.5,-2.4,-3.5,none
381,12.713,red,24.2,-2.4,-3.2,none
384,12.813,red,22.4,-1.0,-3.1,none
387,12.913,red,23.2,-2.5,-2.8,none
390,13.013,red,23.3,-2.5,-3.3,none
393,13.113,red,22.3,-1.9,-3.1,none
396,13.213,red,22.9,-1.7,-3.0,none
399,13.313,red,22.5,-2.3,-3.5,none
402,13.413,red,22.9,-2.1,-2.9,none
405,13.514,red,23.2,-2.3,-3.2,none
408,13.614,red,23.2,-2.4,-3.7,none
411,13.714,red,24.5,-2.5,-3.4,none
414,13.814,red,23.1,-2.6,-3.4,none
417,13.914,red,22.7,-2.7,-2.6,none
420,14.014,red,23.7,-2.6,-3.1,none
423,14.114,red,23.7,-2.6,-3.7,none
426,14.214,red,22.6,-1.9,-2.9,none
429,14.314,red,23.1,-2.1,-3.1,none
432,14.414,red,23.6,-2.6,-3.2,red
435,14.514,red,23.9,-2.6,-2.0,red
438,14.615,red,24.1,-2.6,-3.4,none
