frame,t,state,red_score,green_score,before_v2_rule
0,0.0,red,101.7,-0.8,red
3,0.1,red,98.1,0.1,red
6,0.2,red,96.1,-0.8,red
9,0.3,red,97.7,0.2,red
12,0.4,red,99.0,0.3,red
15,0.501,red,100.4,-0.1,red
18,0.601,red,96.7,-1.4,red
21,0.701,red,96.8,-1.4,red
24,0.801,red,97.9,-1.2,red
27,0.901,red,96.2,-1.0,red
30,1.001,red,98.0,-0.2,red
33,1.101,red,96.5,0.0,red
36,1.201,red,98.4,0.9,red
39,1.301,red,99.5,-0.4,red
42,1.401,red,98.9,-0.7,red
45,1.502,red,98.6,-0.3,red
48,1.602,red,100.0,-0.4,red
51,1.702,red,98.5,0.1,red
54,1.802,red,96.7,-0.6,red
57,1.902,red,96.4,-0.6,red
60,2.002,red,97.1,-1.3,red
63,2.102,red,96.5,-0.9,red
66,2.202,red,96.6,-0.6,red
69,2.302,red,96.8,-1.3,red
72,2.402,red,96.6,0.5,red
75,2.502,red,97.1,-0.9,red
78,2.603,red,97.0,-0.2,red
81,2.703,red,97.9,-0.5,red
84,2.803,red,97.4,-1.0,red
87,2.903,red,99.4,-0.9,red
90,3.003,red,97.9,-0.1,red
93,3.103,red,97.7,-1.5,red
96,3.203,red,98.7,-0.6,red
99,3.303,red,97.9,-0.6,red
102,3.403,red,99.3,-0.4,red
105,3.504,red,99.3,0.4,red
108,3.604,red,97.5,0.1,red
111,3.704,red,100.0,-0.3,red
114,3.804,red,97.7,-1.1,red
117,3.904,red,99.5,-1.2,red
120,4.004,red,100.2,0.2,red
123,4.104,red,99.6,-0.0,red
126,4.204,red,97.8,-0.7,red
129,4.304,red,98.5,-1.1,red
132,4.404,red,99.6,0.5,red
135,4.504,red,98.6,-0.0,red
138,4.605,red,99.2,-0.9,red
141,4.705,red,98.6,-0.5,red
144,4.805,red,99.4,-0.4,red
147,4.905,red,99.2,-1.0,red
150,5.005,red,99.2,-0.5,red
153,5.105,red,99.6,-1.6,red
156,5.205,red,98.2,0.2,red
159,5.305,red,99.2,-0.4,red
162,5.405,red,104.4,-0.7,red
165,5.506,red,98.2,0.2,red
168,5.606,red,98.9,-0.0,red
171,5.706,red,98.0,0.4,red
174,5.806,red,99.5,-1.3,red
177,5.906,red,97.9,-1.3,red
180,6.006,red,98.7,-0.9,red
183,6.106,red,98.4,-0.4,red
186,6.206,red,98.0,-1.1,red
189,6.306,red,103.0,-1.0,red
192,6.406,red,104.8,-1.8,red
195,6.506,red,98.7,-0.5,red
198,6.607,red,99.4,-1.5,red
201,6.707,red,99.2,-0.5,red
204,6.807,red,98.3,-0.7,red
207,6.907,red,103.6,-0.8,red
210,7.007,red,103.4,-0.9,red
213,7.107,red,104.1,-0.2,red
216,7.207,red,99.6,-0.0,red
219,7.307,red,103.5,0.0,red
222,7.407,red,99.2,-0.8,red
225,7.508,red,98.8,-1.1,red
228,7.608,red,103.4,-1.7,red
231,7.708,red,102.6,-1.4,red
234,7.808,red,98.0,-0.9,red
237,7.908,red,103.7,-1.1,red
240,8.008,red,104.8,-0.7,red
243,8.108,red,96.9,0.8,red
246,8.208,red,96.7,-0.4,red
249,8.308,red,104.6,-0.9,red
252,8.408,red,103.3,-0.9,red
255,8.508,red,98.2,-0.3,red
258,8.609,red,104.7,-0.8,red
261,8.709,red,102.9,-0.8,red
264,8.809,red,95.9,-1.1,red
267,8.909,red,103.5,-0.6,red
270,9.009,red,105.2,-0.6,red
273,9.109,red,98.1,-0.1,red
276,9.209,red,105.0,-0.0,red
279,9.309,red,102.0,-0.5,red
282,9.409,red,102.8,0.2,red
285,9.51,red,97.2,0.5,red
288,9.61,red,104.9,-0.7,red
291,9.71,red,102.3,0.4,red
294,9.81,red,97.7,-0.5,red
297,9.91,red,101.9,-0.8,red
300,10.01,red,101.8,-1.0,red
303,10.11,red,96.8,-1.1,red
306,10.21,red,102.7,-1.2,red
309,10.31,red,104.7,-0.1,red
312,10.41,red,102.2,-0.8,red
315,10.51,red,102.4,-0.6,red
318,10.611,red,102.5,-0.7,red
321,10.711,red,105.3,-0.7,red
324,10.811,red,98.3,-0.6,red
327,10.911,red,102.5,-1.7,red
330,11.011,red,102.3,-0.6,red
333,11.111,red,105.2,-1.1,red
336,11.211,red,101.7,-0.6,red
339,11.311,red,103.7,-1.1,red
342,11.411,red,103.2,-1.1,red
345,11.512,red,103.2,-1.0,red
348,11.612,red,101.8,-0.3,red
351,11.712,red,102.9,-0.7,red
354,11.812,red,102.4,-1.1,red
357,11.912,red,103.0,-0.5,red
360,12.012,red,102.2,-0.3,red
363,12.112,red,102.4,-0.1,red
366,12.212,red,101.4,-0.5,red
369,12.312,red,102.0,-0.4,red
372,12.412,red,101.9,0.1,red
375,12.513,red,102.5,-0.2,red
378,12.613,red,103.8,-0.1,red
381,12.713,red,103.6,-0.8,red
384,12.813,red,103.5,-1.1,red
387,12.913,red,103.3,-0.5,red
390,13.013,red,103.6,-0.2,red
393,13.113,red,103.7,-1.1,red
396,13.213,red,103.4,-1.1,red
399,13.313,red,103.8,0.2,red
402,13.413,red,104.3,0.1,red
405,13.514,red,104.1,-1.1,red
408,13.614,red,101.9,-0.4,red
411,13.714,red,102.1,-0.6,red
414,13.814,red,103.1,0.4,red
417,13.914,red,102.7,-0.8,red
420,14.014,red,102.6,0.3,red
423,14.114,red,103.5,-1.0,red
426,14.214,red,102.7,-0.6,red
429,14.314,red,103.5,-0.4,red
432,14.414,red,103.0,-0.1,red
435,14.514,red,102.3,0.1,red
438,14.615,red,102.9,-0.5,red
441,14.715,red,103.0,-1.0,red
444,14.815,red,102.9,-0.1,red
447,14.915,red,103.5,0.6,red
450,15.015,red,103.3,-0.3,red
453,15.115,red,103.8,-0.6,red
456,15.215,red,101.9,-0.4,red
459,15.315,red,102.3,-0.3,red
462,15.415,red,103.9,-1.2,red
465,15.516,red,102.2,0.4,red
468,15.616,red,103.1,0.5,red
471,15.716,red,102.3,-0.1,red
474,15.816,red,102.5,0.1,red
477,15.916,red,103.1,-1.1,red
480,16.016,red,101.6,-0.4,red
483,16.116,red,102.3,-0.4,red
486,16.216,red,103.1,-1.1,red
489,16.316,red,102.0,-1.2,red
492,16.416,red,102.3,-0.3,red
495,16.516,red,101.2,-0.2,red
498,16.617,red,102.8,-1.4,red
501,16.717,red,102.6,-1.3,red
504,16.817,red,102.9,-0.5,red
507,16.917,red,103.0,-0.1,red
510,17.017,red,102.0,-0.9,red
513,17.117,red,103.6,-1.0,red
516,17.217,red,104.0,0.1,red
519,17.317,red,102.1,-1.1,red
522,17.417,red,102.9,0.5,red
525,17.518,red,103.0,0.1,red
528,17.618,red,102.7,-2.3,red
531,17.718,red,102.5,-0.6,red
534,17.818,red,101.9,-0.7,red
537,17.918,red,102.9,-0.5,red
540,18.018,red,102.2,-1.1,red
543,18.118,red,102.6,-0.8,red
546,18.218,red,102.1,-0.6,red
549,18.318,red,101.8,-0.7,red
552,18.418,red,101.2,-1.3,red
555,18.518,red,101.7,-0.5,red
558,18.619,red,100.6,-0.6,red
561,18.719,red,101.4,-1.0,red
564,18.819,red,102.1,-0.6,red
567,18.919,red,101.3,-0.7,red
570,19.019,red,102.3,-0.8,red
573,19.119,red,101.6,0.3,red
576,19.219,red,100.9,-0.3,red
579,19.319,red,101.5,-1.2,red
582,19.419,red,101.5,-0.4,red
585,19.52,red,102.7,-0.3,red
588,19.62,red,100.5,-1.1,red
591,19.72,red,101.2,0.0,red
594,19.82,red,101.0,-0.4,red
597,19.92,red,101.7,-0.1,red
600,20.02,red,102.6,-0.3,red
603,20.12,red,101.9,-0.6,red
606,20.22,red,100.8,-1.9,red
609,20.32,red,102.1,-0.5,red
612,20.42,red,102.5,-1.1,red
615,20.521,red,101.5,-0.9,red
618,20.621,red,100.6,-1.3,red
621,20.721,red,101.9,-0.4,red
624,20.821,red,102.5,-1.2,red
627,20.921,red,102.4,-0.8,red
630,21.021,red,103.5,-1.3,red
633,21.121,red,104.0,-0.3,red
636,21.221,red,102.8,-0.8,red
639,21.321,red,102.6,-1.5,red
642,21.421,red,101.8,-0.3,red
645,21.522,red,101.4,-0.6,red
648,21.622,red,102.1,-0.9,red
651,21.722,red,101.1,0.0,red
654,21.822,red,102.4,-0.1,red
657,21.922,red,102.0,-0.6,red
660,22.022,red,102.8,0.2,red
663,22.122,red,101.1,-0.5,red
