frame,t,state,red_score,amber_score,green_score,before_v2_rule
0,0.0,red,109.2,-13.8,4.8,red
3,0.1,red,108.6,-13.4,5.9,red
6,0.2,red,109.4,-13.3,6.0,red
9,0.3,red,109.2,-12.1,5.6,red
12,0.4,red,111.3,-12.9,5.5,red
15,0.501,red,109.9,-12.6,3.9,red
18,0.601,red,109.0,-12.9,4.4,red
21,0.701,red,109.1,-12.0,5.7,red
24,0.801,red,111.1,-13.8,4.8,red
27,0.901,red,111.3,-11.6,4.8,red
30,1.001,red,109.5,-12.7,5.1,red
33,1.101,red,109.7,-12.6,4.3,red
36,1.201,red,111.6,-12.2,5.2,red
39,1.301,red,108.6,-12.8,4.9,red
42,1.401,red,107.9,-13.1,5.0,red
45,1.502,red,110.9,-13.2,5.0,red
48,1.602,red,108.6,-12.2,4.3,red
51,1.702,red,108.4,-12.7,4.8,red
54,1.802,red,108.7,-12.4,4.7,red
57,1.902,red,110.7,-13.3,4.6,red
60,2.002,red,108.4,-13.7,5.6,red
63,2.102,red,109.0,-12.4,4.9,red
66,2.202,red,108.4,-13.1,4.8,red
69,2.302,red,107.3,-12.1,4.9,red
72,2.402,red,109.8,-13.2,5.0,red
75,2.502,red,109.1,-13.2,3.5,red
78,2.603,red,109.7,-13.0,5.5,red
81,2.703,red,110.4,-13.5,4.2,red
84,2.803,red,109.0,-12.7,5.8,red
87,2.903,red,108.7,-12.6,4.9,red
90,3.003,red,110.3,-13.8,4.9,red
93,3.103,red,108.2,-13.2,5.0,red
96,3.203,red,109.5,-11.4,5.2,red
99,3.303,red,111.4,-12.8,5.3,red
102,3.403,red,109.9,-12.3,5.3,red
105,3.504,red,111.7,-12.0,5.6,red
108,3.604,red,111.7,-13.1,4.8,red
111,3.704,red,110.7,-13.5,5.0,red
114,3.804,red,110.7,-12.7,4.8,red
117,3.904,red,109.2,-14.0,4.3,red
120,4.004,red,109.7,-12.4,5.1,red
123,4.104,red,108.8,-12.9,5.2,red
126,4.204,red,109.7,-12.3,5.6,red
129,4.304,red,109.8,-12.4,5.3,red
132,4.404,red,109.2,-12.2,5.9,red
135,4.504,red,111.0,-12.3,5.4,red
138,4.605,red,108.5,-12.1,4.4,red
141,4.705,red,108.5,-11.8,5.1,red
144,4.805,red,108.3,-12.6,5.2,red
147,4.905,red,108.4,-13.5,4.8,red
150,5.005,red,109.0,-12.2,4.7,red
153,5.105,red,108.9,-13.0,4.0,red
156,5.205,red,108.1,-12.7,5.1,red
159,5.305,red,109.2,-13.9,4.2,red
162,5.405,red,107.5,-12.3,3.3,red
165,5.506,red,108.2,-12.8,5.4,red
168,5.606,red,108.0,-13.5,5.2,red
171,5.706,red,107.1,-13.0,6.0,red
174,5.806,red,108.9,-11.6,4.9,red
177,5.906,red,107.4,-13.0,5.2,red
180,6.006,red,107.4,-13.3,5.1,red
183,6.106,red,108.0,-13.5,5.3,red
186,6.206,red,108.5,-13.1,5.1,red
189,6.306,red,108.5,-12.5,5.1,red
192,6.406,red,110.5,-12.9,4.8,red
195,6.506,red,109.2,-12.6,5.7,red
198,6.607,red,108.3,-12.4,6.2,red
201,6.707,red,107.0,-12.4,5.4,red
204,6.807,red,107.0,-12.6,5.8,red
207,6.907,red,109.6,-12.4,4.8,red
210,7.007,red,106.9,-12.0,5.5,red
213,7.107,red,106.8,-11.9,5.0,red
216,7.207,red,108.7,-12.7,5.5,red
219,7.307,red,109.3,-12.7,5.1,red
222,7.407,red,108.8,-13.5,5.8,red
225,7.508,red,109.2,-12.4,6.0,red
228,7.608,red,107.7,-12.7,4.8,red
231,7.708,red,108.5,-12.9,5.2,red
234,7.808,red,107.5,-13.4,5.2,red
237,7.908,red,107.6,-12.7,4.2,red
240,8.008,red,107.9,-13.0,6.4,red
243,8.108,red,107.6,-12.7,5.7,red
246,8.208,red,108.2,-13.5,5.1,red
249,8.308,red,109.0,-13.6,4.9,red
252,8.408,red,108.4,-12.3,6.0,red
255,8.508,red,108.0,-13.5,5.4,red
258,8.609,red,107.3,-13.7,5.1,red
261,8.709,red,110.6,-12.4,5.7,red
264,8.809,red,109.2,-12.4,4.5,red
267,8.909,red,109.1,-12.4,5.3,red
270,9.009,red,110.5,-11.9,6.0,red
273,9.109,red,109.7,-12.3,5.2,red
276,9.209,red,110.1,-13.6,5.6,red
279,9.309,red,109.2,-12.3,4.3,red
282,9.409,red,112.3,-11.1,4.9,red
285,9.51,red,111.4,-11.9,5.3,red
288,9.61,red,108.9,-13.4,4.7,red
291,9.71,red,110.3,-12.2,5.1,red
294,9.81,red,108.7,-12.5,5.3,red
297,9.91,red,108.5,-12.2,4.4,red
300,10.01,red,108.2,-12.6,4.3,red
303,10.11,red,109.1,-12.9,5.5,red
306,10.21,red,108.9,-13.4,4.4,red
309,10.31,red,108.7,-12.2,5.8,red
312,10.41,red,108.8,-12.7,5.3,red
315,10.51,red,109.3,-13.1,4.9,red
318,10.611,red,108.7,-12.8,5.1,red
321,10.711,red,108.7,-11.9,4.5,red
324,10.811,red,108.6,-11.9,5.3,red
327,10.911,red,109.5,-11.9,5.6,red
330,11.011,red,109.3,-12.9,6.4,red
333,11.111,red,109.3,-13.3,5.5,red
336,11.211,red,109.6,-13.5,6.0,red
339,11.311,red,110.0,-13.0,4.9,red
342,11.411,red,109.6,-11.7,5.3,red
345,11.512,red,109.1,-12.5,5.3,red
348,11.612,red,108.0,-13.1,5.6,red
351,11.712,red,109.3,-13.2,5.1,red
354,11.812,red,108.5,-14.1,5.2,red
357,11.912,red,107.5,-12.1,4.4,red
360,12.012,red,109.1,-12.2,5.1,red
363,12.112,red,109.2,-12.7,5.4,red
366,12.212,red,108.9,-12.8,6.0,red
369,12.312,red,108.9,-12.7,5.2,red
372,12.412,red,109.8,-13.0,6.2,red
375,12.513,red,108.9,-12.5,5.4,red
378,12.613,red,107.7,-12.7,6.0,red
381,12.713,red,108.8,-12.6,4.8,red
384,12.813,red,108.6,-12.5,6.0,red
387,12.913,red,108.5,-12.5,4.8,red
390,13.013,red,107.9,-13.9,5.2,red
393,13.113,red,107.5,-12.8,4.6,red
396,13.213,red,106.9,-12.4,4.9,red
399,13.313,red,108.6,-13.2,6.0,red
402,13.413,red,108.0,-12.7,4.5,red
405,13.514,red,108.7,-13.1,4.0,red
408,13.614,red,107.7,-12.5,5.0,red
411,13.714,red,109.6,-12.7,6.5,red
414,13.814,red,106.4,-12.4,4.9,red
417,13.914,red,106.6,-12.0,5.6,red
420,14.014,red,107.4,-11.7,6.4,red
423,14.114,red,108.1,-11.7,5.1,red
426,14.214,red,107.7,-11.8,5.3,red
429,14.314,red,108.0,-12.9,4.7,red
432,14.414,red,107.0,-13.4,5.4,red
435,14.514,red,107.5,-12.4,5.0,red
438,14.615,red,108.9,-12.9,4.6,red
441,14.715,red,109.3,-13.2,4.2,red
444,14.815,red,107.2,-12.8,5.8,red
447,14.915,red,108.0,-13.1,4.6,red
450,15.015,red,107.1,-12.6,4.5,red
453,15.115,red,108.4,-11.7,4.5,red
456,15.215,red,108.1,-11.7,4.1,red
459,15.315,red,109.6,-13.7,5.1,red
462,15.415,red,109.5,-12.6,5.0,red
465,15.516,red,109.6,-12.2,4.8,red
468,15.616,red,109.2,-12.6,5.0,red
471,15.716,red,110.0,-12.9,5.8,red
474,15.816,red,110.6,-12.3,4.7,red
477,15.916,red,109.4,-13.7,4.3,red
480,16.016,red,108.4,-11.5,6.1,red
483,16.116,red,108.6,-12.1,5.5,red
486,16.216,red,109.4,-12.0,5.1,red
489,16.316,red,111.3,-13.1,5.2,red
492,16.416,red,109.1,-12.6,4.8,red
495,16.516,red,110.5,-12.6,5.0,red
498,16.617,red,108.3,-12.6,4.3,red
501,16.717,red,109.9,-13.9,4.0,red
504,16.817,red,110.0,-12.7,5.0,red
507,16.917,red,110.0,-12.9,4.3,red
510,17.017,red,109.0,-12.3,4.6,red
513,17.117,red,109.0,-11.5,4.5,red
516,17.217,red,110.0,-13.3,5.2,red
519,17.317,red,110.1,-14.1,5.4,red
522,17.417,red,110.6,-13.5,6.0,red
525,17.518,red,110.8,-12.5,5.1,red
528,17.618,red,108.9,-11.9,5.4,red
531,17.718,red,109.5,-12.5,4.5,red
534,17.818,red,108.4,-13.4,5.3,red
537,17.918,red,108.7,-12.8,4.8,red
540,18.018,red,108.0,-12.8,4.5,red
543,18.118,red,108.3,-12.0,4.9,red
546,18.218,red,108.3,-13.5,4.9,red
549,18.318,red,108.6,-13.7,4.6,red
552,18.418,red,107.5,-12.5,4.6,red
555,18.518,red,108.6,-12.4,5.0,red
558,18.619,red,107.1,-12.6,6.3,red
561,18.719,red,109.3,-12.9,6.7,red
564,18.819,red,107.6,-13.0,5.4,red
567,18.919,red,108.9,-13.2,5.3,red
570,19.019,red,108.3,-12.6,5.2,red
