frame,t,state,red_score,green_score,before_v2_rule
0,0.0,red,47.3,-4.5,red
3,0.1,red,48.3,-4.6,red
6,0.2,red,47.1,-4.6,red
9,0.3,red,48.6,-4.3,red
12,0.4,red,48.1,-4.3,red
15,0.501,red,47.6,-4.7,none
18,0.601,red,47.2,-3.9,red
21,0.701,red,46.8,-4.2,red
24,0.801,red,47.3,-4.1,red
27,0.901,red,47.5,-4.2,none
30,1.001,red,47.8,-4.7,red
33,1.101,red,48.0,-4.8,red
36,1.201,red,46.5,-4.1,red
39,1.301,red,46.9,-4.8,red
42,1.401,red,47.3,-4.3,red
45,1.502,red,46.3,-4.3,red
48,1.602,red,46.2,-3.9,none
51,1.702,red,47.4,-4.5,red
54,1.802,red,48.0,-5.1,red
57,1.902,red,46.0,-4.9,red
60,2.002,red,47.7,-3.7,red
63,2.102,red,46.6,-3.8,red
66,2.202,red,46.8,-4.2,red
69,2.302,red,46.9,-4.4,red
72,2.402,red,45.7,-4.8,red
75,2.502,red,46.1,-4.4,red
78,2.603,red,45.7,-4.5,red
81,2.703,red,45.9,-4.8,none
84,2.803,red,45.8,-4.6,red
87,2.903,red,45.8,-4.2,none
90,3.003,red,45.7,-4.4,none
93,3.103,red,46.7,-5.5,none
96,3.203,red,45.6,-5.1,none
99,3.303,red,45.8,-4.2,none
102,3.403,red,45.8,-4.7,none
105,3.504,red,46.0,-5.2,none
108,3.604,red,45.4,-5.3,red
111,3.704,red,46.1,-4.5,red
114,3.804,red,45.4,-4.4,none
117,3.904,red,47.3,-5.0,red
120,4.004,red,47.2,-4.5,red
123,4.104,red,46.5,-4.5,red
126,4.204,red,46.2,-4.7,none
129,4.304,red,46.2,-4.2,red
132,4.404,red,44.8,-4.7,red
135,4.504,red,44.8,-4.6,red
138,4.605,red,45.9,-5.1,red
141,4.705,red,45.6,-4.5,none
144,4.805,red,45.8,-5.1,none
147,4.905,red,45.1,-4.1,none
150,5.005,red,45.5,-5.2,none
153,5.105,red,46.5,-4.8,none
156,5.205,red,45.9,-4.4,none
159,5.305,red,47.4,-5.2,none
162,5.405,red,47.2,-4.6,none
165,5.506,red,46.8,-5.1,none
168,5.606,red,44.7,-5.2,none
171,5.706,red,47.0,-5.1,red
174,5.806,red,46.3,-4.6,red
177,5.906,red,46.5,-4.4,red
180,6.006,red,46.3,-4.9,none
183,6.106,red,46.3,-4.9,none
186,6.206,red,45.6,-4.8,none
189,6.306,red,46.0,-5.0,none
192,6.406,red,47.4,-4.8,red
195,6.506,red,47.9,-4.6,red
198,6.607,red,46.7,-4.3,red
201,6.707,red,48.3,-4.9,red
204,6.807,red,47.0,-4.3,red
207,6.907,red,46.0,-4.9,none
210,7.007,red,47.1,-4.2,none
213,7.107,red,46.7,-4.7,red
216,7.207,red,47.5,-5.0,red
219,7.307,red,48.9,-5.0,red
222,7.407,red,48.2,-5.1,red
225,7.508,red,46.8,-4.9,none
228,7.608,red,46.5,-3.9,red
231,7.708,red,46.4,-5.3,red
234,7.808,red,46.6,-5.1,red
237,7.908,red,46.9,-4.2,red
240,8.008,red,46.8,-4.7,red
243,8.108,red,48.1,-5.1,red
246,8.208,red,47.4,-4.8,none
249,8.308,red,47.7,-5.4,none
252,8.408,red,47.4,-5.0,none
255,8.508,red,47.3,-5.0,none
258,8.609,red,47.3,-5.5,red
261,8.709,red,46.9,-5.4,red
264,8.809,red,46.7,-5.4,red
267,8.909,red,46.8,-4.3,red
270,9.009,red,47.5,-4.7,red
273,9.109,red,48.3,-4.5,red
276,9.209,red,46.1,-4.8,red
279,9.309,red,47.6,-4.9,red
282,9.409,red,46.6,-4.9,none
285,9.51,red,46.0,-4.6,none
288,9.61,red,45.9,-5.7,red
