frame,t,state,red_score,green_score,before_v2_rule
0,0.0,red,97.7,3.8,red
3,0.1,red,96.6,3.6,red
6,0.2,red,99.0,3.4,red
9,0.3,red,100.1,2.9,red
12,0.4,red,98.1,2.6,red
15,0.501,red,99.7,3.6,red
18,0.601,red,99.0,3.3,red
21,0.701,red,99.0,3.0,red
24,0.801,red,98.7,3.4,red
27,0.901,red,98.1,3.4,red
30,1.001,red,96.8,3.0,red
33,1.101,red,96.7,3.2,red
36,1.201,red,100.2,2.4,red
39,1.301,red,100.3,3.8,red
42,1.401,red,99.2,4.2,red
45,1.502,red,98.9,4.3,red
48,1.602,red,97.4,3.5,red
51,1.702,red,98.4,3.3,red
54,1.802,red,98.0,4.1,red
57,1.902,red,98.2,2.9,red
60,2.002,red,98.4,4.1,red
63,2.102,red,98.1,4.2,red
66,2.202,red,98.6,4.7,red
69,2.302,red,99.0,2.4,red
72,2.402,red,99.0,3.3,red
75,2.502,red,98.5,3.3,red
78,2.603,red,98.1,2.9,red
81,2.703,red,98.0,3.2,red
84,2.803,red,98.3,2.6,red
87,2.903,red,98.0,3.1,red
90,3.003,red,97.9,2.7,red
93,3.103,red,97.7,3.5,red
96,3.203,red,96.8,3.4,red
99,3.303,red,97.3,4.6,red
102,3.403,red,98.0,4.0,red
105,3.504,red,97.1,3.9,red
108,3.604,red,98.3,3.8,red
111,3.704,red,97.7,3.8,red
114,3.804,red,97.6,2.3,red
117,3.904,red,98.7,3.1,red
120,4.004,red,99.2,3.7,red
123,4.104,red,97.8,3.0,red
126,4.204,red,99.1,3.7,red
129,4.304,red,98.6,3.2,red
132,4.404,red,98.6,3.8,red
135,4.504,red,98.7,3.0,red
138,4.605,red,96.9,3.9,red
141,4.705,red,99.8,3.9,red
144,4.805,red,98.8,3.4,red
147,4.905,red,99.0,4.1,red
150,5.005,red,98.8,3.4,red
153,5.105,red,99.6,3.8,red
156,5.205,red,99.8,3.9,red
159,5.305,red,98.9,3.3,red
162,5.405,red,100.2,3.3,red
165,5.506,red,99.6,4.2,red
168,5.606,red,99.7,4.1,red
171,5.706,red,99.0,3.2,red
174,5.806,red,99.4,3.6,red
177,5.906,red,99.9,3.2,red
180,6.006,red,100.6,3.6,red
183,6.106,red,100.4,3.8,red
186,6.206,red,100.0,3.1,red
189,6.306,red,99.5,3.3,red
192,6.406,red,99.4,3.6,red
195,6.506,red,99.6,3.8,red
198,6.607,red,98.8,3.2,red
201,6.707,red,99.6,3.1,red
204,6.807,red,100.1,2.2,red
207,6.907,red,99.7,3.4,red
210,7.007,red,99.0,3.2,red
213,7.107,red,99.9,3.1,red
216,7.207,red,98.8,4.2,red
219,7.307,red,99.0,3.0,red
222,7.407,red,99.2,3.4,red
225,7.508,red,99.5,3.3,red
228,7.608,red,99.8,3.7,red
231,7.708,red,100.5,3.4,red
234,7.808,red,100.4,3.6,red
237,7.908,red,99.2,4.4,red
240,8.008,red,99.9,3.1,red
243,8.108,red,99.6,3.7,red
246,8.208,red,100.4,2.8,red
249,8.308,red,100.2,3.4,red
252,8.408,red,100.5,3.4,red
255,8.508,red,100.7,3.1,red
258,8.609,red,99.4,3.8,red
261,8.709,red,99.2,4.2,red
264,8.809,red,100.0,3.5,red
267,8.909,red,99.9,3.4,red
270,9.009,red,99.5,2.4,red
273,9.109,red,99.4,2.5,red
276,9.209,red,99.7,3.5,red
279,9.309,red,99.9,3.1,red
282,9.409,red,100.6,3.6,red
285,9.51,red,99.5,3.7,red
288,9.61,red,100.4,3.5,red
291,9.71,red,102.9,3.2,red
294,9.81,red,102.4,3.1,red
297,9.91,red,103.0,2.7,red
300,10.01,red,102.4,3.6,red
303,10.11,red,103.1,3.0,red
306,10.21,red,103.0,3.1,red
309,10.31,red,102.1,3.0,red
312,10.41,red,102.6,3.5,red
315,10.51,red,102.6,4.7,red
318,10.611,red,101.8,3.1,red
321,10.711,red,102.9,4.2,red
324,10.811,red,103.3,3.9,red
327,10.911,red,102.8,3.5,red
330,11.011,red,102.7,3.8,red
333,11.111,red,102.5,3.4,red
336,11.211,red,103.2,3.4,red
339,11.311,red,102.2,3.5,red
342,11.411,red,102.3,3.3,red
345,11.512,red,102.3,3.7,red
348,11.612,red,102.2,3.0,red
351,11.712,red,102.8,3.9,red
354,11.812,red,102.4,3.0,red
357,11.912,red,102.7,3.8,red
360,12.012,red,102.3,3.2,red
363,12.112,red,101.7,2.9,red
366,12.212,red,103.0,3.0,red
369,12.312,red,102.5,3.7,red
372,12.412,red,103.1,4.2,red
375,12.513,red,102.9,4.1,red
378,12.613,red,103.2,3.9,red
381,12.713,red,102.5,4.2,red
384,12.813,red,103.0,4.5,red
387,12.913,red,103.5,4.2,red
390,13.013,red,101.3,3.8,red
393,13.113,red,102.0,3.2,red
396,13.213,red,102.0,4.4,red
399,13.313,red,102.2,3.2,red
402,13.413,red,102.1,3.2,red
405,13.514,red,101.5,4.0,red
408,13.614,red,102.0,2.9,red
411,13.714,red,102.3,4.4,red
414,13.814,red,102.2,4.4,red
417,13.914,red,102.3,3.2,red
420,14.014,red,102.4,4.2,red
423,14.114,red,102.0,4.3,red
426,14.214,red,101.5,4.1,red
429,14.314,red,102.1,4.2,red
432,14.414,red,101.7,3.6,red
435,14.514,red,102.5,3.1,red
438,14.615,red,101.2,2.3,red
441,14.715,red,102.0,3.6,red
444,14.815,red,101.6,2.7,red
447,14.915,red,101.6,3.3,red
450,15.015,red,101.2,3.4,red
453,15.115,red,101.8,2.4,red
456,15.215,red,102.7,3.1,red
459,15.315,red,101.7,3.8,red
462,15.415,red,102.7,3.8,red
465,15.516,red,101.4,3.4,red
468,15.616,red,101.1,2.1,red
471,15.716,red,101.4,2.8,red
474,15.816,red,101.6,3.4,red
477,15.916,red,102.1,3.0,red
480,16.016,red,102.0,4.2,red
483,16.116,red,101.4,4.0,red
486,16.216,red,101.7,3.0,red
489,16.316,red,101.6,3.5,red
492,16.416,red,101.9,3.2,red
495,16.516,red,102.1,5.0,red
